16255882
/m/03wf5q4
/m/03wf5q4
Enid Blyton


a 11
able 1
about 1
accepts 1
advises 1
after 1
again 1
allen 1
along 1
also 1
an 1
and 24
any 1
anything 1
are 1
arranges 1
arrives 1
as 5
ask 2
at 6
away 1
back 2
bad 2
be 5
because 1
becomes 3
before 1
behaviour 2
behind 1
being 3
beneath 1
birthday 2
boarding 1
boy 1
break 1
broken 1
brother 1
but 3
by 2
cake 2
cards 1
child 1
class 1
confess 1
contrite 1
convinces 1
determined 1
develops 1
did 1
died 1
discovers 1
disgrace 1
disliked 1
disobedient 1
distressed 1
does 1
effects 1
elizabeth 10
every 1
expelled 2
explains 1
favourite 1
fellow 1
first 2
for 2
friends 4
friendship 1
from 2
function 1
get 2
girl 4
go 1
goes 1
gold 1
good 2
half 1
halfterm 1
happy 3
has 2
head 2
heads 2
heart 2
held 1
help 1
her 31
home 3
hoping 1
how 3
however 1
hurt 1
i 2
idea 1
if 2
ill 2
illness 1
importance 1
improves 1
in 5
indeed 1
is 12
it 1
joan 17
joins 1
knows 4
large 1
learns 3
leave 1
lessons 1
likes 1
longs 1
lot 1
loved 1
loves 1
make 2
makes 2
making 1
manybreaking 1
meanwhile 1
meets 1
mind 1
misbehave 1
misbehaving 1
mischief 1
more 1
mother 8
much 1
neglect 3
new 1
not 6
of 8
off 1
on 1
only 1
or 1
order 1
outraged 1
overjoyed 1
parents 4
people 1
piano 1
play 1
possible 2
presents 2
progress 1
promises 1
rain 1
realizes 1
reconcile 1
replies 1
resentment 1
rita 3
role 1
rude 1
rules 1
school 4
secretly 1
send 2
sent 3
share 1
she 23
slowly 1
so 1
soon 1
spoiled 1
stay 1
stems 1
sternly 1
strange 1
students 1
suggestion 1
survived 1
take 1
talks 1
tell 1
tells 1
term 1
thank 1
that 9
the 11
them 1
there 1
this 2
though 1
to 25
townsend 1
trick 1
tries 1
try 1
twin 1
understands 1
unhappy 1
up 1
upset 1
very 2
visit 1
wanders 1
want 1
when 4
while 1
who 1
whyteleafe 3
will 3
william 2
with 5
wont 1
wontthose 1
words 1
world 1
writes 2
years 1
