1356129
/m/04wbg7
/m/04wbg7
Brian Jacques
1996
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 21
abbess 1
abbey 4
abbot 4
abbotabbess 1
aboard 2
accidentally 1
across 3
after 2
again 1
against 1
ago 1
all 5
allout 1
alone 2
along 5
also 1
among 1
an 3
and 47
another 1
aptitude 1
archer 1
are 7
army 1
arrive 1
arrows 1
arven 2
as 4
assassinated 1
at 10
attempted 1
attempts 2
away 2
back 6
bankvole 3
bankvoles 1
barbaric 1
barranca 3
base 1
battle 2
be 2
beast 1
become 2
becomes 1
been 4
before 9
befriended 1
begin 1
beginning 1
begins 1
being 4
binds 1
bites 1
boat 1
boats 1
both 1
bow 1
breaking 1
brewing 1
bring 1
brother 2
building 1
burnt 1
but 10
by 9
called 1
can 1
captain 3
captives 2
captured 1
casts 1
caught 1
chance 1
chase 1
chieftain 1
church 1
cleckstarr 1
clecky 3
clever 2
closely 1
come 1
coming 1
conva 4
corners 1
corsair 1
corsairs 1
craklyn 1
creature 1
crew 1
crime 1
cruel 2
curious 1
dark 1
daughter 1
dead 1
death 1
decides 1
deck 1
departs 1
determines 1
dibbun 1
die 1
dies 1
diggum 1
discarded 1
discovers 1
disoriented 1
doubledealing 1
doubleoutrigger 1
down 1
due 1
duel 1
durral 5
dying 1
each 1
eliminates 1
elite 1
end 1
ends 3
enemies 1
ensues 1
escape 1
escorted 1
eventually 1
ever 1
evil 1
evildoers 1
examine 1
expertly 1
exquisite 1
fail 1
failing 2
fallen 1
family 1
far 2
fashions 1
fatally 1
fearsome 1
female 1
fermald 2
ferret 2
fierce 1
fight 1
finally 1
find 2
first 1
fix 1
flairnose 1
flees 1
follow 1
for 8
force 2
forces 1
forest 1
forever 1
form 1
found 3
fox 1
freebeast 1
friend 1
friends 4
frildur 1
from 2
gates 1
gathering 1
gathers 1
general 1
gerul 3
get 1
gives 1
gone 1
grath 6
gravely 1
graylunk 3
greed 1
greenfletched 1
guide 1
gurrbowl 1
had 6
hard 1
hare 1
harmony 1
has 3
hatching 1
have 3
hawm 1
he 9
headed 1
health 1
hedgehog 2
help 2
her 7
herbs 1
hidden 1
him 3
himself 1
his 8
holt 3
hopes 1
how 1
however 2
hunger 1
hypnotic 1
hypnotized 1
ii 1
in 14
inbar 3
initial 1
injured 2
instructions 1
into 4
irrepressible 1
is 11
island 2
isle 2
it 3
jackdaws 1
kept 1
killed 3
large 1
lask 10
last 1
lead 1
leads 1
learn 1
leave 1
lepus 1
live 1
living 1
lizards 8
logalog 1
longboatcrew 1
longfletch 2
lost 1
love 1
lutra 2
made 1
madeyes 1
maid 1
manages 1
marten 2
martin 6
meanwhile 1
meet 3
meeting 1
misery 1
mistreated 1
moles 1
monitor 4
montisle 1
mossflower 8
most 1
mouse 2
murdering 1
murders 1
mysterious 2
near 1
negotiation 1
ninian 1
no 1
nonmouse 1
not 4
nothing 1
nurse 1
occasionally 1
ocean 1
oceans 1
odds 1
of 20
off 2
old 5
on 11
one 1
only 1
other 1
others 2
otter 2
otters 2
out 5
over 2
overthrow 1
owl 1
own 1
owned 1
pair 3
palace 1
partners 1
passing 1
paying 1
pearl 1
pearls 11
perfectly 1
perseverance 1
pet 1
pick 1
piknim 2
pine 2
plan 1
planned 1
pleased 1
plunged 1
poisonous 1
powerful 1
presently 1
prevent 1
price 1
process 1
protects 1
pursue 2
quarry 3
quest 2
quickly 1
quiver 1
rainstorm 1
ransom 1
rasconza 2
realizing 1
rebellion 1
recorder 1
redwall 7
redwaller 1
redwallers 3
refuge 1
rescue 1
rescued 2
resumes 1
retrieve 2
return 2
returning 1
revenge 1
rocks 1
rollo 2
romsca 6
rosepink 1
ruddaring 1
rudder 1
ruddering 1
safety 2
sails 1
sampetra 9
sea 2
seal 1
searats 2
search 3
searching 1
seasons 1
seeking 1
seize 1
sends 1
senile 1
sent 3
set 1
several 2
she 5
ship 6
shore 3
shores 1
shrews 2
sight 1
since 1
sinewy 1
sister 1
six 3
skeleton 3
skilled 1
skipper 2
slain 2
slaying 2
slew 1
slowly 1
snake 2
sneaked 1
some 1
sons 1
southward 1
spherical 1
squirrel 2
st 1
stare 1
stays 1
steps 1
stoat 1
stolen 1
storm 1
stroll 1
strong 1
succeed 1
surely 1
tag 1
take 2
takes 4
tansy 5
tears 2
that 4
the 107
their 4
them 4
then 2
there 2
they 8
though 2
through 1
throughout 1
timber 1
to 41
toward 2
tracks 1
travelers 1
trident 1
tries 1
troops 1
tropical 1
trouble 1
trueflight 1
twice 1
two 5
ublaz 7
underfed 1
up 5
use 1
used 1
using 1
vermin 3
vessel 1
viola 5
violence 2
war 1
warriors 1
was 2
wavevermin 1
waveworm 2
way 2
weasel 2
went 1
western 3
when 4
where 2
which 2
while 1
who 8
whom 1
wielding 1
wiped 1
with 13
without 1
woods 4
work 1
wounded 1
wreaking 1
yet 1
young 4
