1679379
/m/05mt78
/m/05mt78
Mario Puzo
2001-10
a 3
after 1
aims 1
alexander 3
alexanders 1
ambitions 1
ambitious 1
and 6
apart 1
are 1
armies 1
as 2
beautiful 1
because 1
become 1
believes 1
borgia 2
borgiw 1
brgias 1
brother 1
but 2
cardinals 1
carries 1
cesare 3
childrenthe 1
commanderinchief 1
complex 1
conquest 2
csrodina 1
cunning 1
despot 1
divine 1
doubledealing 1
each 1
eslos 1
ever 1
exchanges 1
family 1
father 1
fathers 1
festivities 1
feudal 1
focuses 1
for 2
forgive 1
formerly 1
fulfill 1
girolamo 1
god 1
godfather 1
grandiose 1
have 1
he 1
helmet 1
her 4
his 4
husbands 1
if 1
in 2
including 1
infallible 1
interspersed 1
is 3
it 1
italys 1
kniha 1
lost 1
love 1
loved 1
lovemaking 1
lovers 1
lucrezia 3
many 2
marries 1
memorable 1
miter 1
not 1
novel 1
novela 1
of 2
off 1
on 2
one 2
only 2
opulent 1
other 1
out 1
outbursts 1
papal 1
passionate 1
plotting 1
plrodzina 1
political 1
pope 3
powie 1
priest 1
ptos 1
puzos 1
rack 1
reasons 1
reformist 1
remains 1
rodrigo 1
rosa 1
rule 1
runs 1
ruthless 1
savonarola 1
scene 1
she 2
simply 1
since 1
sinful 1
sins 1
states 1
story 1
sub 1
submissive 1
the 11
thirteen 1
this 1
through 1
to 6
torn 1
two 1
ultimately 1
under 1
unify 1
vi 1
violence 1
virginity 1
warriors 1
was 1
when 1
which 1
who 1
wicked 1
will 1
with 1
