12868077
/m/02x8m2q
/m/02x8m2q
Michelle Magorian
1984
13 1
145 1
a 2
after 1
all 1
ally 1
america 1
americanised 1
an 1
and 14
any 1
around 1
as 1
at 1
awkward 1
baffled 1
beattie 1
became 1
been 3
before 1
boarding 1
boring 1
born 1
broke 1
brother 2
but 1
by 3
came 1
car 1
centres 1
charlie 2
child 1
connecticut 2
deal 1
decent 1
devoid 1
devon 1
dickinson 1
disappointment 1
does 1
dominated 1
during 1
eccentric 1
end 1
england 2
evacuee 1
family 2
father 1
finds 1
food 1
from 2
grandmother 2
guildford 1
had 2
happiness 1
have 2
he 1
helps 1
her 15
hidebound 1
home 3
host 1
house 1
however 1
hurt 1
husband 1
in 6
initially 2
is 6
it 1
kindly 1
langley 1
leads 1
life 1
longs 1
main 1
mechanic 1
mother 3
motherinlaw 1
much 1
not 1
novel 1
of 4
on 1
one 1
out 2
parents 1
peers 1
peggy 2
people 1
protagonist 1
range 1
rationing 1
rejected 1
return 3
returns 2
rules 1
rundown 1
rusty 6
scale 1
school 1
sent 2
she 5
shell 1
skilled 1
spirit 1
spiteful 1
staying 1
stiff 2
story 1
strict 1
struggles 1
teachers 1
the 12
they 1
through 1
throughout 1
to 9
totally 1
tough 1
used 1
violent 1
virginia 2
war 4
was 2
when 3
where 1
who 2
whose 1
with 1
woman 1
