2830260
/m/02wv9gs
/m/02wv9gs
Gillian Rubinstein
2002
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
10 1
a 10
abbott 1
abducts 1
about 1
accepted 1
accompanied 1
across 1
adopt 1
adopted 1
after 2
against 1
allows 1
almost 1
also 1
an 3
and 25
another 1
appreciating 1
arai 1
army 1
around 1
arrive 1
arts 1
as 2
asks 1
assassin 1
assassinate 1
astonishment 1
at 10
attempted 1
attempting 1
autumn 1
be 2
beautiful 1
because 1
becomes 1
been 1
before 1
between 1
birth 1
body 1
boy 1
bring 2
brings 1
brother 1
bury 1
but 2
by 10
called 1
came 1
can 1
care 1
carrying 1
castle 3
chased 1
chiyo 1
clan 1
condition 1
connection 1
constantly 1
corpse 1
countries 1
crucified 1
daughter 1
day 1
dead 1
deal 1
deems 1
denied 1
departs 1
discovers 1
discuss 1
down 2
drown 1
during 2
dying 1
escape 2
eventually 1
everyday 1
exinstructor 1
explores 1
exploring 1
expressing 1
family 2
father 1
female 1
festival 1
feudal 1
fictional 1
fifteen 1
find 2
finished 1
fled 1
floor 1
follows 1
for 5
forced 1
found 1
fox 1
from 6
future 1
gets 1
girl 1
grave 1
greatest 1
guard 1
guards 1
had 2
hagi 2
half 2
harassed 1
has 1
have 1
he 6
headed 1
hearing 1
hed 1
held 1
her 6
hidden 5
him 11
his 11
home 2
honours 1
hostage 1
house 1
household 1
however 2
ichiro 1
iida 5
immediately 1
in 9
informing 1
inn 1
into 1
inuyama 2
invasion 1
is 12
it 1
its 1
itself 1
japan 1
joining 1
journey 1
kaede 7
kenji 4
kikuta 3
killed 1
kinswoman 1
knife 1
known 1
lady 4
later 3
leader 1
leaving 1
led 1
long 1
lord 3
loses 1
love 1
maid 2
maiden 1
makes 1
married 1
maruyama 5
master 1
meet 3
meets 2
member 1
members 1
men 1
merchant 2
month 1
most 2
mountains 1
murder 1
musters 1
muto 4
name 3
named 3
naomi 1
niece 1
night 3
nightingale 1
noguchi 1
not 2
of 22
old 2
on 3
one 3
only 1
others 1
otori 1
out 4
overhears 1
pair 1
persecution 1
plans 2
plays 1
powerful 1
practice 1
preparing 1
promise 1
protect 1
protection 1
rape 2
reach 1
reaches 1
real 1
received 1
recognising 1
relationship 1
renames 1
rescued 1
return 1
returns 1
reveals 1
risk 1
road 1
room 1
rooms 1
roots 1
ruler 1
sadamu 2
saved 1
secret 1
seishuu 1
set 1
seven 1
she 6
shigeru 20
shirakawa 2
shizuka 2
shrine 1
since 1
sixteenyearold 1
skilled 1
slaughter 2
slaughtered 1
sleep 1
slowly 1
sneak 1
sneaks 1
so 1
son 1
sons 1
stabbed 1
stability 1
stare 1
started 1
starts 1
stop 2
story 1
superhuman 1
takeo 21
takes 1
tell 1
temporarily 1
terayama 2
th 1
that 10
the 57
their 2
them 3
they 5
threat 1
three 1
thus 1
time 2
to 24
together 1
tohan 1
tomasu 4
train 1
training 1
treachery 1
tribe 5
tried 2
trip 1
trying 1
tsuwano 3
two 1
uncles 1
unconscious 1
under 3
unhorses 1
unsuitable 1
urged 1
visit 1
voice 1
wall 2
wanted 1
wanting 1
war 1
was 8
west 1
when 4
where 4
whilst 1
who 8
whom 2
wife 1
wishes 1
with 9
would 1
wounds 1
year 2
years 1
yuki 1
