24513201
/m/080ng3p
/m/080ng3p
Jorge Amado
1961
{"/m/05hgj": "Novel"}
a 12
acclaimed 1
across 1
after 1
age 1
all 4
along 1
also 1
and 17
anyone 1
arago 2
ardent 1
are 3
arrival 1
arriving 1
as 2
asking 1
asleep 1
award 1
awards 1
be 2
become 1
belem 1
believe 3
belm 3
boarding 1
boastful 1
bohemian 1
both 1
braggart 1
businessman 1
but 2
by 2
cachaa 1
can 1
captain 3
cheap 1
chico 3
citizens 1
city 1
coast 1
collecting 1
command 1
commander 10
complete 1
continue 1
corpses 1
damaged 1
decides 2
deeply 1
defamed 1
desire 1
destroyed 1
disappointed 1
distant 1
divide 1
docked 1
does 1
dream 1
drifting 1
drunk 1
durable 1
endures 1
envious 1
erupts 1
even 1
events 1
ever 1
except 1
exception 1
exotic 2
fact 1
falls 1
fans 1
fate 1
for 1
friends 3
from 1
fun 1
gets 1
give 1
group 1
had 1
has 1
have 1
he 4
herself 1
him 6
his 9
honored 1
house 1
houses 1
how 2
identifies 1
illegally 1
in 12
incident 1
inhabitants 1
intact 1
into 1
investigation 1
is 5
it 2
just 1
known 1
laughter 1
leads 1
leaves 1
leaving 1
liar 1
life 2
lived 1
makes 1
management 1
many 1
mariner 1
maritime 1
master 2
medal 1
medals 1
mistake 1
moor 2
moscoso 3
most 2
moves 1
mr 1
newspapers 1
night 1
not 2
now 2
objects 1
obtained 1
of 16
officer 2
official 1
old 1
on 2
or 1
pacheco 1
pachecowho 1
par 1
periperi 4
pipe 1
place 1
plantations 1
port 3
ports 2
previously 1
rank 1
real 1
realizing 1
refuge 1
remains 1
required 1
returns 2
role 1
roofless 1
ropes 2
ruined 1
saddened 1
sailing 1
salvador 2
satisfy 1
saying 1
says 1
sea 4
second 2
seen 1
sensual 1
ship 4
ships 1
show 1
simply 1
smoking 1
so 1
sole 1
some 1
starts 1
state 1
stopping 1
stories 1
storm 1
strongly 1
takes 2
that 6
the 35
then 1
thinks 1
those 2
title 3
to 12
took 1
town 2
tradition 1
trip 1
two 1
undecided 1
uniforms 1
upon 1
various 1
vasco 10
version 1
versions 1
vessel 1
victorious 1
violent 1
wealthy 1
wear 1
which 1
who 5
with 7
without 1
women 1
youth 1
