797758
/m/03cwpt
/m/03cwpt
Jostein Gaarder
1991
{"/m/014dfn": "Speculative fiction"}
10 1
14yearold 1
15th 1
a 17
about 5
actually 1
addressed 2
after 1
afterwards 1
against 1
ages 1
akin 1
albert 5
alberto 10
allow 1
along 2
alongside 1
amundsen 3
an 2
ancient 2
and 18
anonymous 2
appear 1
appears 1
are 3
as 11
asking 2
at 1
attempts 1
away 1
back 1
baroque 1
be 3
beauvoir 1
becomes 1
before 1
begins 1
being 1
berkeley 1
birthday 1
book 3
both 2
budgerigars 1
but 4
by 5
caf 1
called 1
captain 1
card 1
cat 1
christianity 1
church 1
civilization 1
co 1
come 1
communications 1
completely 1
construction 1
continues 2
correspondence 1
course 2
covers 1
daughter 1
de 1
develop 1
device 1
disappearing 1
does 1
dressed 1
ends 1
enlightenment 1
entire 1
escape 1
events 1
everything 1
exercising 1
explains 1
eyes 1
father 3
fiftyyearold 1
fight 1
finds 1
first 1
focus 1
for 4
framing 1
french 1
friend 1
from 6
gaarder 1
george 1
gets 1
girl 1
godlike 1
goldfish 1
greek 1
grows 1
have 2
he 5
hellenistic 1
helps 1
her 20
hilde 8
him 1
himself 1
his 1
history 1
impossible 1
in 13
ingenious 1
initially 1
interaction 1
interacts 1
intertwine 1
into 1
introduction 1
is 13
it 1
its 1
jeanpaul 1
joanna 1
knag 6
knowledge 1
knows 1
knox 2
laced 1
later 1
learns 2
lebanon 1
lectured 1
lego 1
lessons 3
life 1
literary 1
lives 2
mailbox 1
major 1
managed 1
many 1
meanwhile 1
meddle 1
medieval 1
messages 1
methods 1
middle 1
mind 1
mirror 1
mixed 1
mller 1
monk 1
more 4
most 2
mother 2
move 1
much 1
mysterious 3
nations 1
normal 1
norway 1
norwegian 1
not 2
novel 2
novels 1
of 14
oil 1
on 3
only 1
or 1
out 2
outwit 1
over 2
own 2
packet 2
packets 1
papers 2
part 1
peacekeeping 1
periods 1
perspective 1
philosopher 1
philosophic 1
philosophical 1
philosophies 1
philosophy 7
plato 1
plot 2
post 1
postcard 1
power 1
powers 1
preluded 1
present 1
presocratics 1
put 1
questions 2
quite 1
rather 1
reasoning 1
receives 1
receiving 1
reflection 1
renaissance 1
revealed 1
reveals 2
review 1
rise 1
romantic 1
sartre 2
scientifically 1
second 1
seeing 2
serves 1
she 5
sherekan 1
shifts 1
short 1
shortly 1
simone 1
simply 1
socrates 1
sofie 1
someone 1
sophie 18
spirits 1
stationed 1
stemmed 1
stories 1
story 3
student 1
substantive 1
such 2
takes 1
tanker 1
teaches 1
teaching 1
teenage 1
that 4
the 35
them 2
these 1
they 1
this 2
thought 1
to 20
too 1
tortoise 1
toy 1
troubling 1
try 1
turn 1
two 2
understand 1
understandable 1
understanding 3
unit 1
united 1
use 1
various 1
version 1
way 1
well 1
where 1
which 2
while 1
who 4
why 1
wink 1
with 14
work 1
world 7
year 2
you 1
