200493
/m/01cgzc
/m/01cgzc
Bernice Rubens
1991-05-06
{"/m/02xlf": "Fiction"}
a 15
abroad 1
accept 1
accidentally 1
accompany 1
actually 2
after 1
afterwards 2
age 1
alistair 1
alive 1
all 1
already 1
although 3
an 2
and 13
any 1
appointments 1
around 1
as 1
asexual 1
asleep 2
at 4
attic 1
avoids 1
back 1
bare 1
be 2
become 1
bedroom 1
been 1
before 1
behind 1
being 1
birth 2
birthday 1
body 2
brief 1
buries 1
but 1
by 2
calls 1
can 1
child 2
close 1
come 1
comes 2
commits 1
compulsive 1
consists 1
control 1
couple 2
crime 1
crisis 1
crown 8
daughter 5
day 2
days 2
dead 1
decisive 1
dentists 1
devastated 1
devoted 1
doctors 1
does 2
dominant 1
doris 5
down 2
dr 1
drives 1
dug 1
during 1
early 2
ensuing 1
envisaging 1
esau 6
ever 1
face 7
fact 1
fast 1
father 1
few 1
fifth 1
finding 1
first 2
five 1
fling 1
for 9
former 1
found 1
friend 1
friendship 1
from 2
front 1
garage 1
gets 1
girl 1
girlfriend 1
give 1
giving 1
gone 1
granddaughter 1
grave 1
gropes 1
hairy 1
handicapped 1
hands 1
hanging 1
hangs 1
harmless 1
has 7
have 2
he 19
her 13
him 1
himself 5
his 15
home 1
hope 1
house 2
however 1
hyde 1
idea 1
identify 1
imagining 1
immediately 1
in 10
influence 1
informed 2
into 1
is 16
it 2
just 1
keeps 1
kidnaps 1
large 1
last 1
later 1
latter 1
leaves 1
life 2
like 1
live 1
lock 1
looking 1
looks 1
make 1
making 1
man 1
marital 1
masseurs 1
mdash 5
meets 1
men 1
missing 1
morgue 1
morning 2
mother 1
moves 2
need 1
never 2
next 1
night 1
nocturnal 1
normal 1
not 5
novel 1
now 1
nursery 1
of 10
office 1
on 1
one 1
only 1
opens 1
out 3
parents 1
park 1
perform 1
persuade 1
photos 1
playground 1
police 3
postponing 1
preschool 1
present 1
psychiatric 1
psychiatrist 1
reaction 1
ready 1
realizes 1
refuses 2
room 1
routine 1
school 1
search 1
see 1
sees 1
shallow 1
she 1
sheets 1
shown 1
so 1
solve 1
some 2
soon 1
still 2
strangles 1
strike 1
stripper 1
stripping 1
suffering 1
suicide 1
sure 1
syndrome 1
takes 1
tell 1
telling 1
that 7
the 20
their 3
them 2
then 2
therapeutic 1
this 1
time 3
to 17
totally 1
treatment 1
tree 1
turn 1
two 1
unable 1
unavoidable 1
under 3
understanding 1
up 2
urgent 1
very 1
virginia 2
visit 1
visits 1
wait 1
way 1
well 1
what 1
when 8
who 4
wife 4
will 1
with 7
without 1
work 1
would 1
years 2
yet 1
