2488703
/m/07hfs4
/m/07hfs4
Anthony Horowitz
2005-04-01
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/08sdrw": "Adventure novel"}
7 1
a 12
accumulated 1
against 1
agent 1
airport 1
alex 21
all 1
an 5
and 21
angel 4
apartment 1
are 1
ark 4
arrival 1
arrive 1
arrives 1
as 2
assassination 1
at 4
attempt 2
attempting 1
australia 1
away 2
back 1
bay 3
be 2
becomes 1
before 2
befriend 1
belle 1
belong 1
biggest 1
billionaire 1
blinded 1
board 1
bomb 4
both 1
building 1
but 5
by 3
can 1
canoes 1
capsule 1
captured 1
causes 1
causing 1
chosen 1
cia 7
come 2
comes 1
connections 1
contains 1
could 1
crash 1
criminal 1
customs 1
dc 1
decides 2
despite 1
destroy 2
diving 1
down 1
drevin 16
due 1
earth 1
ecoterrorist 1
enough 1
eradicate 1
escape 1
escapes 4
events 1
evidence 1
explodes 2
fact 1
faints 1
fall 1
falls 2
father 1
fifth 1
fight 1
fights 1
financing 1
finds 1
fire 1
fit 1
flamingo 3
flat 1
following 1
for 2
force 2
four 2
from 3
gabriel 1
gadget 1
gain 1
gains 1
get 1
gokart 1
group 1
hand 1
harmlessly 1
have 2
he 9
held 1
help 1
hide 1
him 8
his 7
home 1
hospital 3
hotel 1
in 13
information 1
inside 1
into 2
invites 1
is 14
island 2
it 3
kaspar 4
kidnap 1
kidnapped 1
killed 4
knife 1
knight 1
knocks 1
lap 1
learns 1
leave 1
led 1
letting 1
light 1
lock 1
luxury 1
mainly 1
man 2
mary 1
masked 1
men 3
money 1
move 1
moves 1
must 1
named 3
near 1
nearly 1
new 2
nikolei 5
not 1
now 1
of 7
off 2
on 5
once 1
one 1
only 1
out 2
overpowers 1
own 1
paul 6
pentagon 1
plane 1
pretends 1
project 1
proving 1
race 1
reclaim 1
recovering 1
recruits 1
regretted 1
revolutionary 1
rider 1
rocket 4
route 2
russian 1
sails 1
satellite 1
save 1
saving 1
scorpia 1
scuba 1
sea 2
seaplane 1
second 1
secretary 1
see 1
sees 1
set 1
ship 1
since 1
site 1
small 1
some 1
son 2
space 1
spent 1
splashes 1
starts 1
station 1
stay 1
still 1
stop 1
sun 1
sunken 1
take 1
taken 3
takes 1
tamara 3
tells 1
that 4
the 33
them 1
then 4
they 1
this 1
three 2
ties 1
to 26
toilet 1
told 1
trapped 1
tries 1
two 2
tying 1
undercover 1
up 3
upon 1
upper 1
using 1
washington 1
weak 1
weeks 1
well 1
when 3
where 1
while 2
who 2
will 2
with 2
world 1
york 2
