12784753
/m/02x4tgs
/m/02x4tgs
Sophia McDougall
2007
{"/m/0mz2": "Alternate history"}
a 12
about 4
abruptly 1
accompanies 1
action 1
advisor 1
after 3
all 1
alliance 1
allow 1
almost 3
along 1
although 2
ambitious 1
an 3
and 14
are 2
arms 1
arrest 1
as 5
assassin 1
at 4
attack 1
attempt 1
attempted 1
attempts 2
avoid 1
away 1
before 2
begin 1
believe 1
bianjing 1
book 1
brink 1
brother 1
but 6
by 5
capital 1
caught 1
causing 1
certainly 1
charge 1
chinese 1
claimed 1
come 1
conceived 1
conspiracy 1
content 1
convince 1
cost 1
cousin 1
crimes 1
custody 1
dangerous 1
decides 1
decision 1
deeply 1
developing 1
direct 1
disastrous 1
discover 1
discovering 1
discovers 1
drusus 9
effective 1
efforts 1
emperor 2
empire 1
empress 2
especially 1
events 2
evidence 1
exjudiciary 1
explosion 1
exposes 1
factory 1
faith 1
falls 1
faustus 4
felt 1
finds 1
first 2
for 4
forced 2
formed 1
framed 1
from 3
general 1
global 1
go 1
good 1
hands 1
happened 1
has 3
hatred 1
haunted 1
have 4
he 4
heir 1
help 1
her 2
him 1
himself 1
his 8
hitherto 1
home 1
hope 1
hostages 1
hosted 1
however 1
ill 1
in 7
influence 2
intent 2
intentions 1
involvement 2
is 11
japan 1
just 1
kaifeng 1
keeping 1
killed 3
killing 1
kills 1
lead 1
leave 1
leaves 1
left 1
life 3
lost 1
lover 1
many 1
marcus 12
more 1
much 2
murder 2
murders 1
mysterious 1
negotiations 1
never 1
nionia 1
nionian 4
nionians 2
no 1
not 1
novius 1
of 12
on 5
one 1
or 1
other 1
outside 1
over 1
parents 1
partly 1
party 1
passionate 1
peace 1
personal 2
plagued 1
political 1
power 1
primarily 1
prince 1
princess 1
prison 1
questions 1
recruit 1
refuses 1
regent 1
reign 1
releases 1
reluctant 1
resentment 1
rethink 1
return 1
roman 3
romanitas 1
rome 2
sabotaging 1
salvius 1
saving 1
seems 1
sequence 1
she 1
sickly 1
sign 1
sinoan 2
so 1
somehow 1
someone 1
song 1
still 1
stood 1
stop 1
suddenly 1
sulien 5
summoned 1
superweapon 1
surviving 1
suspicious 1
tadahito 1
take 1
talks 1
targeted 1
that 2
the 24
their 1
them 2
there 1
things 1
this 2
those 1
three 1
throne 1
to 19
tortured 1
treason 1
tried 1
tries 1
truth 1
una 9
under 1
up 1
urges 2
varius 9
veii 2
war 3
was 2
way 1
well 1
what 1
when 1
which 1
while 1
who 5
wife 2
wildfires 1
with 6
within 1
works 1
world 1
would 1
years 1
young 1
