355413
/m/01zt4y
/m/01zt4y
Kurt Vonnegut
1952
a 17
advantage 1
after 2
against 1
alive 1
all 2
allowed 1
almost 1
always 1
american 1
americans 1
among 1
an 7
ancillary 1
and 18
anthropology 1
applies 1
as 5
ask 1
at 3
automated 1
bar 1
be 1
been 2
beginning 2
begins 1
being 2
betray 1
bifurcation 1
bold 1
bratpuhr 1
break 1
briefly 1
building 1
but 1
by 6
captured 1
citizens 1
clean 1
colleagues 1
commercial 1
communications 1
complete 1
context 1
contribution 1
control 1
converge 1
culture 1
dc 1
depleted 1
desire 1
destroy 1
developing 1
develops 1
different 2
director 1
displaced 1
displays 1
dissatisfaction 1
distant 1
division 1
done 1
door 1
dr 2
during 1
economy 1
ed 1
edison 1
emblematic 1
embodiment 1
end 1
engineer 2
engineers 3
enough 1
episcopal 1
everyone 1
faced 1
factories 1
factory 3
false 1
famous 1
father 2
few 1
fictional 1
fighting 1
figuratively 1
finnerty 5
first 1
follows 3
foodstuffs 1
for 2
force 1
forced 1
friend 1
from 5
future 1
gain 1
george 1
gets 1
ghost 2
give 1
group 1
happenings 1
has 4
have 3
he 7
held 1
high 1
him 4
his 10
hither 1
homestead 2
houses 1
ilium 2
important 1
in 9
industrial 2
informs 1
ingenious 1
insider 1
instantly 1
instead 1
insubstantially 1
intelligent 1
intends 1
intents 1
into 2
is 13
it 1
job 2
join 1
keeps 1
knock 1
known 1
lasher 3
leader 4
learn 1
lengthy 1
line 3
lines 2
live 1
lives 3
living 1
looking 2
ma 1
machinery 1
machines 2
main 1
make 1
making 1
man 1
manager 2
managers 2
massproduced 1
meaningless 1
meet 1
metamorphosis 1
million 1
minister 1
more 2
most 2
name 3
named 1
nation 2
national 1
nations 1
neither 1
new 1
not 1
novel 3
of 20
old 2
on 2
once 1
one 2
only 4
operate 1
or 1
organization 1
other 1
out 1
outsider 1
over 1
overseas 1
parallel 1
part 1
paul 10
perspectives 1
piano 2
player 2
plight 1
plot 5
population 1
powerful 1
president 1
proetus 1
prominent 1
protagonist 1
proteus 1
publicity 1
purpose 1
purposes 1
puts 1
quit 1
quits 1
rebel 1
referred 1
reflects 1
regard 1
replaced 1
represented 1
residents 1
resources 1
responded 1
river 1
salvation 1
saves 1
section 1
sees 1
sense 1
sensed 1
set 1
shah 2
shirt 2
should 1
side 1
six 1
so 2
society 3
soon 1
speaking 1
spiritual 1
states 1
store 1
strive 1
success 1
suggests 1
superiors 1
symbolically 1
system 7
systems 1
takes 1
ten 1
than 1
that 4
the 49
their 3
there 1
therefore 1
they 2
third 1
thirtyfiveyearold 1
through 1
title 1
to 16
tour 2
town 1
two 4
underdeveloped 1
unfairness 1
united 1
unknown 1
until 1
up 1
use 1
vaguely 1
very 2
visit 1
visitor 1
war 3
was 2
washington 1
were 1
what 1
when 1
where 3
which 1
while 2
who 5
whom 1
with 4
within 2
words 1
work 1
workers 3
works 1
world 1
years 1
yet 1
