5913404
/m/0fd87s
/m/0fd87s
Kenneth Oppel
2005-07-20
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/06www": "Steampunk", "/m/08sdrw": "Adventure novel"}
20000 1
40 1
a 22
aboard 2
academy 2
accomplished 1
across 1
after 4
ago 1
airship 3
all 1
allows 1
along 1
also 2
altitude 2
an 4
and 21
animals 3
antarctic 1
approaching 1
are 3
area 1
around 1
as 2
assigned 2
at 2
attempts 1
away 1
b 3
bars 1
barton 4
battle 1
be 2
beacon 1
because 2
become 1
been 1
before 1
begin 2
billionaire 1
blueprint 1
blueprints 2
brilliant 1
built 1
but 5
by 3
cabin 2
captain 1
cargo 1
carrying 1
causing 1
chaperone 1
climbs 1
cold 1
collection 1
come 1
coming 1
compartment 1
coordinates 1
creature 1
crew 5
criminal 1
crow 2
cruse 1
dangerous 1
day 1
days 1
deduces 1
desolate 1
despite 1
destroyed 1
devil 1
diary 1
dies 1
discover 1
diseased 1
dismiss 1
down 1
drafts 1
drifting 1
duffel 1
during 2
employer 1
escape 1
escapes 1
exams 1
exploring 1
failing 1
falter 1
fate 1
father 1
feel 1
feet 1
finals 1
find 3
finds 1
fist 1
flies 1
flotsam 3
fly 1
foolishly 1
for 5
found 1
from 3
gang 3
get 4
gets 2
girl 1
go 1
gold 1
great 1
group 2
grunel 5
gypsy 2
hal 7
has 1
he 5
headed 1
her 4
him 1
hire 1
his 3
homing 1
however 1
hydrium 1
hyperion 8
immediately 1
in 12
indian 1
interrupts 1
inventor 1
is 14
it 6
jealous 1
john 1
journeys 1
kate 6
killing 1
kiss 1
kissed 1
knew 1
knowing 1
large 1
later 2
learn 1
leave 1
leaving 1
let 1
levels 1
lining 1
lives 1
locks 1
longlost 1
loot 1
lose 1
machine 1
made 2
man 4
manages 1
maneuvers 1
matt 13
meet 1
member 1
men 1
millions 1
mind 1
most 1
ms 1
nadira 7
named 4
nature 1
nearest 1
needs 1
nest 2
ocean 1
of 12
old 1
on 3
onboard 1
one 2
ornithopter 2
out 4
part 1
partake 1
pass 1
permanent 1
pilot 1
pilots 1
plunder 1
port 1
principal 1
process 1
produces 1
product 1
protests 1
put 1
rare 2
rath 7
realizes 1
relationship 1
request 1
requesting 1
rest 1
returns 1
revealed 3
reveals 1
riches 1
rough 1
rudder 1
sagarmatha 2
saving 1
scientist 1
search 2
searching 1
secretive 1
several 2
she 2
ship 12
shoot 1
shortly 1
sickness 1
signal 1
simpkins 1
skies 1
sky 1
skyberia 1
slater 1
sole 1
soon 1
spotted 1
squidlike 1
stationed 1
steal 1
steers 1
storm 1
stranded 1
strange 1
stricken 1
strike 1
students 1
studied 1
study 1
suddenly 1
supposedly 1
suspects 1
szpirglas 1
that 11
the 55
them 1
then 2
theodore 1
there 1
they 8
through 2
to 19
told 1
tow 1
toward 2
training 3
trapped 1
travels 1
tries 1
trip 1
tritus 3
trying 1
two 1
ultimately 1
unaffected 1
unknown 1
up 1
vessel 4
was 3
weeks 1
when 3
where 2
which 1
while 2
who 1
whole 1
will 1
wind 1
wished 1
with 3
work 1
worth 1
years 1
