2244167
/m/06ys96
/m/06ys96
Roddy Doyle
1996
{"/m/02xlf": "Fiction"}
2006 1
a 4
abused 1
an 2
and 4
asks 1
awareness 1
blends 1
book 1
bruise 1
by 1
childhood 1
circumstances 1
climax 1
comes 1
courtship 1
day 1
death 1
door 1
drama 1
events 1
for 1
from 1
gathering 1
hand 2
he 1
her 5
how 1
husband 2
in 3
incident 1
increasing 1
into 1
is 3
it 1
linked 1
marriage 1
moving 1
named 1
narrated 2
narrative 1
novel 1
of 6
on 3
one 1
other 1
outbreak 1
paula 3
published 1
received 1
recounting 1
reflections 1
replies 1
responsible 1
sequel 1
she 3
spencer 2
struggle 1
survival 1
tells 1
that 1
the 13
those 1
title 1
to 1
towards 1
victim 1
violence 1
violent 1
walked 1
was 2
wedding 1
where 1
which 1
wife 1
with 1
