5156373
/m/0d5d68
/m/0d5d68
Frederick Exley
1968
{"/m/05hgj": "Novel"}
150s 1
a 9
account 1
addiction 1
against 1
alcoholism 1
american 2
and 7
as 2
at 2
be 1
beginning 1
black 1
by 1
came 1
celebrity 1
central 1
charting 1
childhood 1
classmate 1
college 1
comes 1
company 1
comparisons 1
contract 1
culture 1
doomed 1
dream 1
earned 1
electrifying 1
electroconvulsive 1
english 1
examines 1
exley 3
failed 1
failure 1
failures 1
fan 1
fandom 1
father 1
fear 1
fictional 1
firm 1
first 1
fitzgerald 1
following 1
football 1
for 1
former 1
frank 1
from 1
gatsby 1
giants 1
gifford 2
great 1
growing 1
has 1
he 2
hero 2
high 1
his 7
hole 1
illness 1
in 5
indictment 1
institutions 1
insulin 1
intermittent 1
introspective 1
is 2
its 1
jobs 1
know 1
life 2
literature 1
lucid 1
manhattan 1
marriage 1
masculinity 1
measure 1
memoir 1
mental 1
morbidly 1
named 1
new 2
notes 1
novel 1
obsession 1
of 8
patience 1
preoccupation 1
prose 1
psychiatric 1
public 1
recounts 1
relations 1
sardonic 1
school 1
selfabsorption 1
shock 1
spectator 1
sports 2
sportsobsessed 1
stints 1
students 1
successes 1
successive 1
teaching 1
that 1
the 8
themes 1
therapy 2
title 1
to 8
tragicomic 1
under 2
unfulfilling 1
up 2
usc 1
watertown 1
way 1
weapons 1
well 1
where 1
with 3
woman 1
working 1
years 2
york 2
