29209200
/m/0dlnw4f
/m/0dlnw4f

1993
{"/m/02xlf": "Fiction"}
a 10
ability 1
able 2
aching 1
across 1
after 2
agree 1
agrees 2
an 3
and 24
andy 3
another 2
any 1
anything 1
are 4
around 1
as 4
at 3
attach 1
attempts 2
avail 1
back 6
ball 1
baseball 1
be 2
begins 2
being 2
believe 1
blanco 1
bodies 2
body 6
bolt 3
bombs 1
boring 1
box 1
breakfast 1
build 1
building 1
but 5
by 2
cabin 1
call 1
calls 1
can 2
carry 1
caught 1
caused 1
celebrate 1
class 6
classes 1
come 1
convince 1
crashes 1
date 1
day 2
decide 1
declares 1
detention 1
different 1
dinner 2
dirksen 26
discuss 1
do 2
does 4
down 1
during 1
education 1
effective 1
efforts 1
eliminating 1
engaged 1
epilogue 1
eventually 2
excitement 1
exciting 2
explaining 1
fact 1
fall 1
father 1
finishes 1
fly 1
following 1
follows 1
for 4
friends 2
from 2
fun 2
fuzzy 1
gain 1
garage 3
gets 2
given 1
going 1
good 1
grade 1
has 2
have 2
he 20
head 1
heads 2
heavy 1
help 1
her 3
hide 1
him 12
himself 1
his 19
hits 1
home 5
hope 1
hopes 2
hopka 1
house 6
how 1
however 2
hurry 1
idea 1
if 3
impressed 1
in 14
informs 2
instead 2
intelligence 2
intruder 1
invention 2
invites 1
is 10
it 7
jake 28
jessica 2
josh 3
kent 1
kite 2
knocking 2
learns 1
leave 1
leaves 1
lecture 1
lectures 1
lesson 1
lessons 1
life 1
lightning 3
line 3
load 1
look 1
looking 1
looks 1
love 1
machine 4
make 4
makes 2
manage 1
marriage 1
matter 1
miserable 2
model 2
more 1
mr 25
mrs 3
much 1
need 1
never 1
no 3
none 1
not 4
nothing 1
notices 1
of 7
on 1
one 2
only 1
or 1
other 1
out 3
over 1
points 1
police 1
power 1
praises 1
predicament 1
principal 1
promise 1
proposes 1
prove 2
punishment 1
reach 1
realize 1
recognize 1
refuses 1
reveals 1
rogers 3
romantic 1
rope 1
run 1
says 1
school 1
science 3
see 1
she 3
sherman 1
shoot 1
shooters 2
shows 1
since 1
sister 2
sitting 1
sixth 1
so 3
soon 1
spend 1
spitball 1
storm 1
strike 1
strikes 2
student 2
students 2
succeeds 1
suddenly 3
swap 1
switch 2
switches 1
system 1
takes 2
talks 2
taught 1
teacher 6
teaches 1
teaching 1
that 12
the 31
their 3
them 3
then 2
there 2
they 3
things 2
this 1
threatens 1
thrown 1
throws 1
thus 1
to 39
training 1
transfer 2
trapped 1
trio 1
truth 1
unconscious 2
up 3
use 1
very 1
wake 1
wakes 1
walk 1
weekend 1
when 2
where 2
while 1
who 2
will 6
with 6
working 1
wrapping 1
