19946027
/m/04yccwv
/m/04yccwv
Tim Bowler
2001-06-30
{"/m/03mfnf": "Young adult literature"}
a 3
about 1
and 6
any 1
apart 1
as 6
asked 1
at 2
away 2
back 1
been 3
before 1
being 1
billy 1
breaking 1
brother 1
by 2
catch 1
change 1
check 1
coastal 1
computer 1
crying 4
darkest 1
day 1
deepest 1
devastating 1
does 1
drove 1
easy 1
ella 6
everything 1
face 1
family 3
fin 1
forced 1
frequently 1
full 1
gate 1
getting 1
giving 1
goes 1
going 1
gone 1
hand 1
has 4
he 6
her 3
himself 1
his 2
home 1
in 1
information 1
into 1
is 6
it 2
kidnapper 2
kidnapping 1
know 1
leaves 1
lighthouse 1
little 1
maybe 1
middle 1
mysterious 1
new 1
night 1
no 1
of 3
old 1
on 3
one 1
opened 1
other 1
out 1
parnell 3
past 1
pengrig 1
place 1
plans 1
rain 1
really 1
relenting 1
replies 1
reveals 1
running 1
sam 3
saying 1
secret 1
secrets 1
she 1
shockedand 1
showing 1
sign 1
simply 2
sister 1
something 1
state 1
stolen 1
storm 3
take 1
talking 1
taptaptap 1
tells 1
that 1
the 10
their 2
they 1
this 1
thought 1
time 1
to 6
took 1
torn 1
towards 1
unravel 1
until 1
wants 2
was 1
wasnt 1
what 2
when 1
with 1
