365419
/m/01_y0h
/m/01_y0h
Sebastian Junger
1997-05-17
11 1
a 4
aboard 2
activities 1
air 1
alden 1
alfred 1
all 1
among 1
an 1
and 9
andrea 4
around 1
as 3
at 3
attempts 1
become 1
before 2
billy 1
board 1
boarding 1
bobby 1
book 3
bringing 1
bugsy 1
buschor 1
by 1
capt 1
caught 2
centered 1
crash 1
crew 3
crow 1
daily 1
dale 1
david 2
dead 1
descriptions 1
detailed 1
didnt 1
directed 1
drums 1
during 2
each 1
early 1
efforts 1
empty 1
epirb 1
even 1
events 1
ever 1
expectation 1
failed 1
family 1
few 1
find 1
fishermen 3
flotsam 1
follows 1
for 1
found 2
from 1
fuel 2
gail 4
gives 1
gloucester 1
go 1
graham 1
guard 1
had 1
helicopter 2
hh60 1
his 1
hope 1
i 2
if 1
in 3
including 1
intelligence 1
is 1
island 1
it 1
jimmy 1
jobs 1
john 1
journey 1
latter 1
left 1
life 1
lives 2
long 2
lost 1
maj 1
members 2
men 2
michael 1
mioli 1
missing 1
money 1
moneynbsp 1
moran 1
much 1
murph 1
murphy 1
national 1
near 1
need 1
nest 1
never 1
new 1
of 10
off 1
on 1
only 1
other 2
own 1
pararescueman 1
pararescuemen 1
part 2
perfect 1
physical 1
pierre 1
popular 1
presumed 1
raft 1
raised 1
reconstruct 1
remains 1
rescue 2
rick 1
ruvola 1
said 1
sea 1
search 1
second 1
several 1
shatford 1
ship 1
ships 1
shore 1
six 1
smith 1
some 1
south 1
spillane 1
ssgt 1
storm 4
strength 1
sullivan 1
sully 2
surviving 1
swordfishing 1
tamaroa 1
tank 1
tavern 1
that 1
the 33
their 4
them 1
themselves 1
they 2
thing 1
this 1
to 2
tsgt 2
tyne 1
was 1
weeklong 1
well 1
were 7
who 1
with 3
would 1
wouldnt 1
wreckage 1
york 1
