6316703
/m/0g0r9c
/m/0g0r9c
Christopher Bram
1995
130s 1
a 5
advance 1
after 1
alone 1
also 1
an 2
and 3
angry 1
apologizeshe 1
apprehensions 1
as 1
asks 1
at 1
backyard 1
begins 1
boone 6
britain 1
but 2
by 2
chance 1
childhood 1
clayton 1
come 2
confused 1
continues 1
convinced 1
cross 1
death 1
despite 1
die 2
director 1
disoriented 1
drowns 1
exmarine 1
face 2
famous 1
fascinated 1
for 1
friend 1
from 2
garden 1
gardener 1
glamour 1
going 1
had 1
has 2
have 1
he 7
him 1
himself 1
his 8
hollywood 3
homosexuality 1
human 1
i 1
images 1
in 3
increasingly 1
insane 1
is 6
james 1
just 1
kill 1
know 1
knows 1
lavish 1
make 1
makes 1
man 1
mind 1
morning 1
named 1
new 1
next 1
night 1
of 4
old 1
one 1
over 1
overwhelmed 1
party 1
past 1
pool 1
portrait 1
premieres 1
ready 1
refuses 1
relationship 1
return 1
sittings 1
so 2
some 1
stroke 1
studio 1
swimming 1
that 3
the 8
they 1
think 1
time 1
to 9
trenches 1
trying 1
uncomfortable 1
understands 1
upset 1
very 1
wants 2
war 1
whale 8
will 1
with 1
workingclass 1
world 1
