22371708
/m/05sy5lb
/m/05sy5lb
Shaun Hutson


a 29
abandoned 3
able 2
aborted 1
abortions 1
accident 1
accidentally 1
actions 1
after 2
again 3
alive 1
all 3
also 1
although 3
ambulance 1
an 4
and 39
another 2
are 9
around 1
as 13
aspects 1
asylum 7
at 1
attack 1
attacks 2
attempting 1
attempts 1
autopsy 1
baby 1
back 3
be 6
beating 1
been 3
before 7
befriends 1
begins 2
believe 3
believes 1
believing 1
between 2
birth 1
blood 2
both 1
breaks 1
brings 1
brother 1
building 1
burials 1
buried 1
burn 3
burning 3
burns 1
burnt 1
bury 1
but 6
by 3
call 1
called 1
can 1
cannot 1
car 6
catch 1
catches 1
caught 1
caused 1
causes 2
causing 2
chasing 1
chest 2
chief 1
child 2
children 1
choice 1
claims 1
collapses 1
combined 1
condition 1
considered 1
continue 1
continues 1
control 1
controlling 1
convinced 1
corpse 3
corpses 1
cut 1
cuts 1
damage 1
dangerous 1
daughter 2
death 1
deceased 1
decide 1
decides 3
declare 1
decomposing 1
demolished 1
derelict 1
describes 1
deserted 1
determined 1
die 2
died 2
discover 6
discovered 2
discovers 2
disguise 2
dismiss 1
dna 1
do 2
doctor 1
doctors 2
does 1
doing 1
dreadful 1
drink 1
driving 1
drop 1
drown 1
due 1
earlier 1
eating 1
electricity 1
encounters 1
enters 1
escape 1
escapes 1
escaping 1
even 1
eventually 1
evil 1
exham 3
exiting 1
face 2
fact 1
fall 1
family 1
farm 1
father 2
fear 1
fears 1
fellow 1
fells 1
female 1
field 2
fight 1
figure 1
final 2
finally 1
find 2
fire 4
five 1
flat 1
foetus 4
foetuses 14
food 1
for 6
found 2
from 2
furious 1
game 1
giving 2
glass 1
gordon 1
grave 4
greives 3
guards 2
had 3
harold 2
harvey 14
has 4
haunted 1
have 6
he 40
head 1
headless 3
hear 1
heart 1
help 1
her 8
him 21
his 23
home 2
horrified 3
horror 1
hospital 8
house 1
how 1
however 3
hunting 1
hut 2
illusion 1
imprisoned 1
in 23
incarcerated 1
informs 3
initially 1
insane 1
insects 1
inspect 1
inspected 1
instead 1
intends 1
into 4
investigate 1
involves 2
is 30
it 5
job 3
journey 1
kill 2
killed 1
killer 4
killing 3
kills 1
knife 2
knocks 1
later 3
leak 1
learn 1
leaving 1
let 1
lets 1
life 1
like 1
looked 1
looking 1
lose 1
loss 1
love 1
maggie 9
makes 1
manage 1
manipulated 1
may 3
meantime 2
meanwhile 3
meet 1
memories 1
mental 1
merely 1
mind 2
mistake 2
momentarily 1
mother 1
mothers 1
move 1
moved 1
murder 1
murderer 3
murders 1
named 1
near 4
nearby 1
need 1
never 1
new 3
news 1
next 1
no 1
nobody 1
not 8
now 2
obsession 1
of 21
old 1
on 3
one 4
open 2
or 2
order 1
orders 2
other 2
others 1
out 5
outside 1
own 2
painful 1
paranoid 1
parks 1
passed 1
passionately 1
past 1
patients 1
paul 2
permanent 1
petrol 1
pierce 25
playing 1
police 4
policemen 1
porter 2
power 1
powerful 1
powers 2
pregnant 1
prison 2
properly 1
proves 1
pylon 2
questions 1
radio 2
rain 1
raise 1
ran 1
randall 11
realise 1
realising 1
received 1
regroups 1
relationship 1
release 1
repairing 1
repeatedly 1
replacement 1
responsible 1
restrained 1
return 2
returns 2
revealed 2
right 1
run 1
runs 1
rush 2
sanity 1
scream 1
search 3
searches 1
seen 1
sees 2
sending 1
set 2
sets 1
settles 1
several 1
severe 2
sex 1
she 3
shelves 1
shock 1
shocked 1
shopkeeper 1
shorty 1
shotgun 1
shoulder 1
shows 1
sickle 1
since 1
site 1
slow 1
slowly 1
small 1
sneak 1
so 2
something 1
soon 1
spends 1
spit 1
sprinting 1
stab 1
stabbed 1
stable 1
stabs 1
still 2
stomach 1
stop 2
storm 1
straps 1
stress 1
subdue 1
sure 1
surprised 1
survived 1
surviving 1
tell 2
telling 1
tells 4
test 1
that 26
the 82
their 4
them 4
themselves 1
then 8
there 2
they 20
thirtyfive 1
this 4
thorough 1
three 3
through 1
thrown 1
to 56
too 1
towards 1
town 1
transporting 1
trapped 1
tree 2
tries 3
try 1
turn 1
two 6
unconscious 1
understand 1
undoes 1
up 1
upon 1
urinate 2
using 1
victims 1
violent 1
violently 1
visits 2
voices 1
vomits 1
wait 1
warden 1
was 3
washed 1
we 1
were 1
what 3
when 6
where 9
which 4
who 5
wife 1
will 3
with 8
witness 2
witnesses 1
women 1
work 2
worked 2
working 1
workmen 1
would 1
wrong 1
years 2
