3111401
/m/08s3c0
/m/08s3c0
Hal Clement
1980-09
a 1
able 1
absorbs 1
adapted 1
alien 2
aliens 3
all 1
allied 1
almost 2
an 3
and 3
another 2
any 1
are 4
at 1
atmosphere 4
atmospheres 1
bacteria 1
based 1
basically 1
be 1
become 1
being 2
biochemically 1
blame 1
bodies 1
breathing 1
but 1
can 2
catalyze 1
cause 1
ceramics 1
change 1
changed 1
combined 1
corrosive 1
earth 1
encounter 1
end 1
equipment 1
escape 1
even 1
evolution 1
exist 1
family 2
fatal 1
for 2
forms 1
from 1
glass 1
gold 2
group 1
have 2
help 1
hinted 1
holding 1
hostage 1
however 1
human 1
humans 3
in 5
inevitable 1
is 3
it 2
knowledge 1
life 1
live 1
mature 1
memories 1
metals 1
mining 1
must 1
mutated 1
new 1
nitrogen 1
no 1
not 1
octopuslike 1
of 6
on 1
one 1
or 3
original 1
outright 1
over 1
oxygen 1
oxygengenerating 1
people 1
personality 1
plants 1
pool 1
reaction 2
reveal 1
same 1
scientists 1
seem 1
shelters 1
since 2
skills 1
so 1
some 2
stated 1
such 1
suitable 1
survive 2
suspicious 1
system 1
technology 1
that 4
the 18
their 1
them 1
they 4
this 1
thousands 1
to 7
tourists 1
travel 1
triggered 1
two 2
use 2
when 1
who 2
with 3
years 1
