3734515
/m/09y0q_
/m/09y0q_
Azar Nafisi
2003
157 1
17 2
178181 1
181 1
187 1
a 12
about 6
abusive 1
academician 1
adultery 1
after 3
all 1
allameh 2
along 1
american 1
an 1
and 30
are 6
as 7
assert 1
at 5
austen 3
author 2
authority 2
awry 1
azin 2
background 1
basis 1
became 1
becomes 1
before 1
begins 1
beheading 2
between 1
blame 1
blind 1
blindness 2
book 5
books 2
but 1
by 1
calls 1
can 1
center 1
certain 1
chapter 2
characters 3
choice 2
chronologically 1
claiming 1
class 1
club 2
condones 1
connecting 1
connection 1
consisting 1
control 1
controversial 1
convict 1
counting 1
creating 1
daisy 1
deals 2
dear 1
decision 1
definition 1
departure 1
dire 1
discuss 2
discussed 1
divided 1
dream 2
dreams 1
during 2
each 1
eleven 1
emigrate 1
empathize 1
empathy 1
england 1
events 2
examines 1
expelled 1
experience 1
expulsion 1
female 1
few 1
first 1
flashback 1
focus 1
for 2
formation 1
four 1
from 5
gatsby 6
girls 2
gold 1
gone 1
government 2
great 2
guards 1
had 1
hate 1
her 17
hero 1
heroism 2
historical 1
house 1
how 2
humbert 2
husband 1
idea 1
imposition 1
in 7
including 2
independent 1
interlaced 1
interpreted 1
intertwined 1
into 2
invitation 2
iran 3
iranian 2
iranians 1
iraniraq 2
is 13
islamic 2
issue 1
it 3
jailers 1
james 3
jane 1
just 2
learns 1
leave 2
liberalminded 1
life 3
literary 1
literature 3
lived 1
lolita 7
magician 2
mahshid 1
main 3
make 1
man 1
mandatory 1
manna 1
marriages 1
meets 2
members 1
memoir 1
men 1
met 1
mike 1
miller 1
mindsets 1
mitra 1
more 1
mr 1
nafisi 11
narrates 1
nassrin 4
new 1
nights 1
no 1
not 3
notions 1
novel 3
nyazi 1
of 29
on 2
one 2
only 1
oppression 2
or 1
order 1
other 2
others 1
own 1
parents 1
part 2
place 1
plans 2
poverty 1
prejudice 1
pride 1
prison 1
private 1
problems 2
professors 2
public 1
puts 1
question 1
read 1
reader 2
real 1
reappears 1
refusal 1
reinforce 1
reminds 1
republic 2
resignation 1
resigns 1
retired 1
return 1
returned 1
revolution 4
revolutionary 1
right 1
rule 1
rules 1
runaway 1
sanaz 1
saying 1
section 1
sections 1
seemingly 1
set 1
seven 1
several 1
sex 1
shattered 2
she 3
society 2
some 1
spending 1
square 1
starts 2
states 2
stories 1
story 1
structure 1
student 1
students 2
submit 1
subsequent 1
succeeds 1
such 3
tabatabei 2
tackles 1
takes 1
talk 1
taught 1
teaching 2
tehran 2
texts 2
that 4
the 59
their 1
theme 1
themes 2
they 2
this 3
thousand 1
through 3
throughout 1
time 1
to 19
totalitarian 1
toyed 1
trial 1
try 1
uncertainty 2
university 5
until 1
used 1
vacation 1
veil 2
villain 1
villainy 2
wants 1
war 2
was 1
washington 1
way 2
wear 1
weekly 1
welcoming 1
western 1
what 1
when 1
while 2
who 5
whole 1
with 7
woman 1
women 1
works 2
yassi 1
years 2
