3254430
/m/091h68
/m/091h68
Robin Klein
1985
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
12year 1
27th 1
5 1
a 5
after 1
age 1
all 1
also 1
an 1
and 6
are 1
as 2
at 1
balance 1
between 1
boy 1
by 2
called 1
care 1
centre 1
character 1
cheated 1
clothing 1
cosmic 1
customs 1
daughter 2
design 1
detention 1
dovis 1
duty 1
dystopian 1
earth 1
family 3
father 1
flier 1
for 1
from 1
galactic 1
gambling 1
genius 1
girl 1
governed 1
government 1
has 2
have 1
her 4
his 1
in 1
includes 1
is 5
kinetics 1
lawenforcers 1
lead 1
leave 1
levitates 1
levitation 1
live 1
lottery 1
love 1
mortimer 1
mother 1
novel 1
of 2
old 1
oldest 1
on 1
planet 1
planetoid 1
poetry 1
police 1
powers 1
professor 1
qwrk 1
rather 1
row 1
ruled 1
save 1
school 1
simulations 1
sister 1
special 1
strange 1
stressed 1
such 2
take 1
tale 1
tells 1
the 13
they 2
time 1
to 4
ultramodern 1
wants 1
who 6
worries 1
would 1
writes 1
x 3
youngest 2
zyrgon 1
zyrgonians 1
