25715244
/m/09v8m3_
/m/09v8m3_
Robert B. Parker
1998
{"/m/0lsxr": "Crime Fiction"}
3 1
a 16
abby 1
aboard 1
about 1
access 1
accessible 1
accomplices 1
after 3
again 1
against 1
agent 1
aliases 1
all 1
alone 1
also 2
although 1
american 1
amount 1
an 1
anchor 1
and 33
apartment 1
are 3
arizona 1
around 1
arrival 1
arrive 1
as 7
at 3
attempt 1
bank 3
bathrooms 1
before 3
begin 1
begins 2
behind 2
being 1
belongs 1
blow 2
boat 7
boatman 3
boston 1
both 1
box 1
boxes 1
bridge 3
but 3
buyers 1
by 3
call 1
campbell 2
campbells 1
can 3
carrying 1
celebrity 1
channel 1
chief 4
chinese 1
climbs 1
close 1
closer 1
cocaine 2
comes 1
commit 2
community 1
concerns 1
confirms 1
confront 1
confronts 1
consists 1
continue 1
crew 4
crime 1
crimes 1
criminal 2
criminals 1
cromartie 1
cross 1
crow 12
cruiser 1
cut 1
dangerous 1
dealers 2
declaring 1
demolitions 1
deposit 2
details 1
discovers 2
dock 1
doesnt 2
door 2
draws 1
drive 1
drug 2
during 2
each 1
ends 1
ensuring 1
enterprise 1
entire 1
entrance 1
escape 1
estate 1
even 1
events 1
excon 2
expert 1
explosives 1
exwife 1
faye 1
fellow 1
female 1
final 1
find 2
finds 2
finish 1
first 1
for 6
forced 1
friend 1
from 3
fund 1
gain 1
game 1
get 2
gets 1
girl 1
girlfriend 1
going 1
guarded 1
guards 1
gunpoint 1
harry 2
has 1
hatches 1
he 6
head 1
headquarters 1
heist 1
helicopter 1
her 1
hide 1
high 1
him 9
his 8
home 1
hostages 3
however 1
immediately 1
in 9
including 1
increase 1
indian 1
inquire 1
intend 1
into 1
investigate 1
is 9
island 14
islands 1
it 3
its 1
jenn 4
jesse 5
jesses 2
jimmy 2
juggles 1
keys 1
kills 1
large 1
later 1
lead 1
leave 1
life 1
lines 1
local 4
locking 1
loot 3
macklin 14
main 1
make 1
man 2
marcy 4
marked 1
massachusetts 1
meanwhile 1
meeting 3
mind 1
minor 1
mr 1
mrs 1
murder 1
murdered 1
murders 3
muscle 1
nautical 1
nearby 1
new 1
news 2
night 1
no 2
not 2
notified 1
novel 4
of 13
off 2
office 2
officer 1
on 2
one 3
onto 2
operation 1
or 1
other 5
out 2
own 1
paradise 2
parker 1
partner 1
passage 1
patrol 1
people 1
phone 1
pilot 1
place 1
plates 1
plot 2
poker 1
police 5
poor 1
port 1
posing 1
previously 1
prison 1
private 1
process 1
prospective 1
provide 1
prowess 1
puts 1
quality 1
reach 1
reaches 1
real 1
really 1
refuses 1
registered 1
relationships 1
released 1
relocated 1
residents 2
rest 2
restaurant 1
ripping 1
rips 1
rob 1
running 1
runs 1
safe 2
safety 1
satisfied 1
second 1
security 2
see 1
seeing 2
sells 1
set 1
settled 1
several 1
sexual 1
share 1
she 1
shoots 1
shore 1
side 1
sign 1
six 1
size 1
smith 2
solely 1
stakeout 1
staking 1
state 1
status 1
stealing 1
steals 1
stiles 3
stone 8
storm 1
subject 1
suspicious 1
swat 1
swims 1
take 2
taylor 1
team 1
telephone 1
that 5
the 58
their 8
them 1
then 4
there 2
they 11
third 1
throughout 1
tide 2
time 1
to 32
together 1
too 1
tries 1
two 2
up 4
use 2
uses 1
using 1
van 2
violent 1
wade 1
wait 3
waiting 1
warned 1
washed 1
water 1
way 2
we 1
wealthy 1
weapon 1
weather 1
when 2
where 1
which 3
while 2
wilson 1
wired 1
wisecracking 1
with 9
women 1
work 1
working 1
yells 1
