24856410
/m/09gpzf4
/m/09gpzf4
Edith Pargeter
1981
113 1
30 1
50 1
a 49
abbey 15
abbot 2
ablebodied 1
about 1
absents 1
abundance 1
accept 1
account 1
accuses 2
across 3
act 1
acted 1
admits 2
admitted 1
after 7
afterwards 1
again 2
agnes 5
agreed 1
agrees 1
aguilon 2
aiming 1
alerted 1
all 4
allow 1
allows 1
alone 2
along 1
already 1
also 4
although 1
an 2
and 53
angrily 1
announce 1
announces 1
another 1
appear 1
appearing 1
appears 1
approaching 1
are 6
area 2
arguing 1
arnulf 1
around 1
arrival 2
arrive 3
arrives 1
arriving 1
arrows 1
as 29
ascalon 1
asking 1
asks 2
assistant 1
assume 1
assures 1
at 23
attends 1
avice 3
avoiding 1
aware 1
back 2
bare 1
baron 1
battle 2
be 9
beautiful 1
because 2
been 5
before 6
befriended 1
begs 1
behind 1
being 5
believed 1
believes 1
belongings 1
benedictine 1
between 2
bishop 4
blue 1
body 3
boldly 1
both 1
boy 2
boys 1
bran 2
brawl 1
break 1
breaks 1
brewood 1
bride 2
bridegroom 1
bridge 1
briefly 1
broke 1
brother 9
bursts 1
but 7
by 17
cadfael 32
called 1
calls 1
can 2
captured 1
care 2
careful 1
caretakers 1
caring 1
case 1
castle 1
ceremony 2
certainly 1
challenge 1
challenged 1
challenges 1
charge 1
charity 1
child 1
church 1
cistercian 1
civilities 1
clinton 1
closely 1
clothes 1
coerced 1
coffin 1
coffining 1
collapses 1
colony 1
combat 1
come 1
commit 1
complaints 1
concealed 1
conceals 2
concern 1
confided 1
confides 1
confirms 1
consider 1
contract 1
convent 2
counties 1
courts 1
cover 1
creeping 1
crude 1
crusade 1
cut 3
darkness 1
dawn 3
day 5
days 1
de 37
dead 2
death 1
depart 1
departs 1
derived 1
descendant 1
describe 1
determines 1
dew 1
died 4
direction 1
disarmed 1
disconcerted 1
discuss 2
disease 1
dismissed 1
do 2
doctors 1
does 3
domville 33
dose 1
double 1
doubts 1
down 1
dragged 1
draught 1
draws 1
drink 1
duel 2
earlier 1
easily 1
empty 1
ends 1
england 1
enjoys 1
entered 1
enters 1
entrusted 1
errors 1
escape 1
escapes 1
escort 1
evening 3
every 2
everyone 1
evidence 1
examines 1
exploited 1
face 1
falls 1
families 2
family 1
famous 1
fancies 1
far 2
fatimid 1
fatimids 1
faults 1
favourite 1
features 1
feelings 1
fell 1
finally 1
financial 1
find 6
finding 1
finds 1
fine 2
finger 1
fingers 1
first 2
fitzjohn 1
flesh 1
flock 1
flower 3
followed 1
fooled 1
for 24
forced 1
forcibly 1
ford 2
forded 1
former 1
found 3
four 1
free 2
friend 1
from 15
full 1
furiously 1
gain 1
garden 1
gather 1
gentlewoman 1
get 3
gift 1
gilbert 1
giles 11
girl 1
gives 1
glad 1
goals 1
godfrid 9
godric 2
goes 2
gold 1
good 1
gromwell 1
groom 1
grounds 6
grown 1
grows 1
grudgingly 1
guardians 1
guards 1
guest 1
guests 1
guilty 3
guimar 1
guy 2
had 11
hand 1
handed 1
hands 1
hanged 3
has 13
hat 1
have 3
