5594143
/m/0dv8fz
/m/0dv8fz
Troy Denning

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 1
after 1
agent 1
an 3
anauroch 2
ancestral 1
and 2
another 1
army 1
as 1
can 1
counter 1
desert 3
determined 1
drive 2
enslave 1
fall 1
for 1
from 1
gain 1
great 1
harpers 1
he 1
helps 1
in 1
invaders 1
is 1
name 1
nomads 1
novel 1
of 2
outcast 1
overcome 1
parched 1
place 1
rivalries 1
route 1
ruha 2
sea 1
send 2
sheikh 2
so 1
stranger 1
takes 1
that 1
the 15
this 1
through 1
to 5
trade 1
tribe 2
tribes 1
tries 1
trust 2
which 1
win 1
witch 1
zhentarim 3
