5140895
/m/0d4npx
/m/0d4npx
Emily Neville
1963
14yearold 1
a 4
adopts 1
adventure 1
after 1
also 1
an 1
and 8
apartment 1
arguments 1
asthmatic 1
attacks 1
attractions 1
book 1
both 1
boy 1
brings 2
bronx 1
cat 3
cats 2
century 1
character 1
city 1
clash 1
collegeaged 1
coney 1
contact 1
dave 7
documenting 1
elderly 1
father 3
few 1
filled 1
first 1
fish 1
frequent 1
from 1
fulton 1
girlfriend 1
glimpses 1
growing 2
have 1
her 1
his 5
home 1
in 1
including 1
into 2
is 4
island 1
it 2
joy 1
kate 1
life 1
lives 1
loves 1
main 1
market 1
mary 1
maturity 1
mid20th 1
mitchell 1
mother 1
named 1
names 1
neighbor 1
neighborhoods 1
new 3
of 4
one 1
people 1
presence 1
provides 1
refuge 1
several 1
she 1
story 1
stray 1
takes 1
the 7
their 1
to 1
tom 2
troubled 1
up 1
when 1
while 1
who 1
whose 1
with 5
worsen 1
york 2
zoo 1
