9857303
/m/02pv0dt
/m/02pv0dt
Melissa Scott
1995-02
a 2
after 1
agreement 1
all 1
and 3
are 2
as 1
at 1
attacking 2
bajoran 2
bay 1
by 1
captured 1
cardassian 1
care 1
cargo 1
causing 1
cautious 1
cloaked 2
comrades 1
crew 1
crewpeople 1
deep 2
doesnt 1
down 1
dukat 2
economy 1
enemy 1
for 1
forces 1
free 1
going 1
gul 1
harm 1
hunt 1
in 1
is 3
keep 1
killing 1
must 1
neutralize 1
nine 2
now 1
of 1
other 1
people 1
powerful 1
reach 1
rescue 1
rest 1
ship 3
ships 2
show 1
sides 1
space 2
taking 1
that 1
the 11
their 1
these 1
through 1
to 2
trade 1
trapped 1
two 2
unfortunately 2
up 1
vital 1
war 1
way 1
well 1
wormhole 1
