16368948
/m/03whz48
/m/03whz48

1996-04
{"/m/03mfnf": "Young adult literature"}
a 4
about 1
accident 1
also 1
always 1
ambiguous 1
an 1
and 5
attitude 1
australia 1
best 1
binge 1
bought 1
brother 1
by 1
changing 1
characters 1
circle 1
cliff 1
climax 1
concerned 1
confident 1
contract 1
crushing 1
disorder 1
dog 1
eating 3
end 1
events 1
father 1
fell 1
first 1
follows 1
food 1
frequently 1
friend 1
friends 1
full 1
girl 1
gone 1
had 2
hard 1
has 1
healthy 1
her 7
herself 1
in 3
include 1
is 5
large 1
life 1
lisa 6
melbourne 1
missing 1
modelling 1
mother 1
narrative 1
narrowly 1
nick 1
no 1
obsessed 1
of 2
offered 1
other 1
out 1
overly 1
overweight 1
parents 1
penny 1
protagonist 1
rock 1
series 1
set 1
she 3
squad 1
stage 1
started 1
starving 1
story 2
suburban 1
teases 1
teenage 1
the 7
then 1
this 1
through 1
trelaw 1
two 1
van 1
weight 2
when 1
where 1
who 2
with 2
worked 1
working 1
