27979753
/m/0ch1ntl
/m/0ch1ntl
Rick Riordan
2010
{"/m/01hmnh": "Fantasy", "/m/08sdrw": "Adventure novel"}
8 1
a 31
about 3
accompanying 1
actually 1
after 1
age 1
ago 1
airplane 1
airport 1
all 3
alone 1
along 3
also 2
amos 10
amulet 2
amulets 2
an 5
anchor 1
and 54
animal 1
antagonist 1
anubisgod 1
apophis 3
appears 1
approaches 1
are 8
arizona 1
arrive 1
art 1
as 6
asks 1
assumption 1
at 4
attacked 1
attempts 1
attract 1
attraction 1
avatar 3
avoid 1
away 3
baboon 1
back 2
banishes 1
bans 1
bast 8
battle 1
be 5
became 1
because 5
becomes 2
been 1
before 2
began 1
begin 2
begins 1
being 1
between 1
birthday 1
blood 1
bonded 1
book 7
both 2
bring 1
bringing 1
british 1
brooklyn 3
brother 3
brought 2
building 1
buried 1
but 9
by 11
called 1
calls 1
cant 1
care 1
carriers 1
carter 25
casting 1
cat 2
catch 1
cats 1
ceramic 1
channeling 1
chaos 5
chased 1
chief 2
children 4
cleopatra 1
cleoptras 1
coffin 1
collapses 1
combat 3
combats 1
combines 1
come 2
completely 1
concept 1
constructing 1
contained 1
continue 1
could 2
creates 1
crush 1
dawn 1
day 2
dc 2
dead 5
decides 1
deeper 1
defeat 1
defend 1
descended 2
desert 1
desjardins 5
destruction 1
develops 1
died 3
discover 1
dislike 1
disrupted 1
divine 1
diviner 1
djed 2
dolland 1
drive 1
duat 7
duatand 1
dying 1
earlier 1
earth 1
east 2
egypt 1
egyptian 7
egyptologist 1
empire 1
end 1
escape 1
even 3
evil 2
expelled 1
eye 1
falcon 1
family 2
famous 1
father 5
feather 3
fight 6
fights 2
find 5
fine 1
finish 1
first 3
for 5
forced 1
former 1
four 1
fourteen 1
from 9
funeralshe 1
geb 1
ghost 1
give 1
given 1
gives 2
glows 1
go 4
god 9
goddess 5
gods 9
goes 2
good 1
graecoroman 1
grandparents 1
great 1
grows 3
gum 1
had 6
has 4
hathor 1
have 3
he 16
healed 1
help 1
her 10
herself 1
hieroglyphs 1
his 13
home 1
hopelessly 1
horus 4
host 10
hosting 1
hosts 3
house 4
how 1
identifies 1
identity 1
imprisons 1
in 19
infiltrate 1
informs 1
inhabited 1
inside 1
into 2
involved 1
is 32
isis 3
iskandar 1
iskander 2
it 9
itself 1
jackson 2
julius 10
just 2
kane 17
khufu 1
kids 1
kill 1
kills 1
known 2
leader 1
learn 1
learns 1
leave 1
leaves 1
leaving 1
lector 2
leopardsalso 1
leroy 2
library 1
life 3
like 1
line 1
link 1
lion 1
live 2
lived 2
lives 1
locker 1
lockera 1
london 1
long 1
loves 1
made 1
magic 7
magical 1
magician 4
magicians 1
main 3
major 1
makes 1
manages 2
manhattan 4
mansion 2
massive 1
means 1
memphis 1
merges 1
metropolitan 1
mexico 1
modern 1
mom 2
mortal 2
mortals 1
most 1
mother 2
motives 1
muffin 1
museum 3
name 3
named 2
narmer 1
nearstranger 1
needed 1
needle 1
needlehe 1
nephthys 1
new 3
next 2
nome 4
nonegyptian 1
not 2
novels 1
now 2
occurs 1
of 47
old 1
older 1
olympian 1
on 2
once 1
one 1
onwards 1
opening 1
or 1
originated 1
orleans 1
osiris 4
other 5
out 5
outclassed 1
outmatched 1
overpowers 1
paid 1
paris 1
partial 1
path 1
people 2
percy 2
person 1
pharaohs 2
picture 1
place 1
plan 1
plot 1
portal 1
possessed 1
power 3
preserving 1
protect 1
protector 2
put 1
puts 1
pyramid 2
quarter 1
quick 1
ramesses 1
rashid 3
reach 1
reading 1
real 1
realm 3
rebuild 1
recording 1
red 2
reference 1
replies 1
return 1
reveals 1
ribbons 1
rick 1
right 1
riordan 1
river 1
rose 1
rosetta 1
rubs 1
ruby 3
run 1
sadie 27
said 1
saves 1
scorpions 1
scribe 1
seal 2
secondincommand 1
secret 2
see 1
sekhmet 1
separate 1
separately 1
series 1
serpent 2
serpopards 2
serqet 3
servant 2
set 15
seven 1
shabtia 1
she 7
short 1
should 1
siblings 4
side 2
signs 1
since 2
sister 2
six 1
sky 1
snake 3
so 2
sobek 2
spell 1
sphinxes 1
spot 1
state 1
stay 2
stays 1
still 1
stone 2
store 1
storms 1
story 1
strength 3
study 1
summon 1
summoning 1
sun 1
supposed 1
supposedly 1
surprises 1
suspect 1
tails 1
take 1
taken 1
takes 3
talk 2
teach 1
teaches 1
tells 1
tennessee 1
term 1
test 1
texas 1
thanks 1
that 10
the 110
their 10
them 13
then 3
there 2
they 27
things 1
this 4
thoth 2
though 1
three 1
throne 1
throws 1
time 1
to 46
told 1
training 2
transports 1
traveled 1
tries 1
true 1
truth 3
trying 3
turns 3
twelve 1
two 3
ultimate 1
uncle 2
underneath 1
underworld 1
underworldland 1
up 3
urges 1
use 1
used 1
using 3
vanish 1
visit 2
want 1
wanted 1
war 2
was 7
washington 2
well 1
were 4
west 1
when 11
where 3
which 6
while 1
who 14
why 1
wife 2
wisdom 1
with 17
work 1
would 3
wound 1
written 1
wrong 1
york 1
zia 13
