7830061
/m/026fkd0
/m/026fkd0
André Franquin
1952

6 1
a 5
abilities 1
accidentally 1
achieving 1
after 1
against 1
ambushed 1
an 1
and 8
animal 1
are 2
as 1
back 2
because 1
but 2
by 1
cage 1
capture 1
capturing 1
compete 1
competition 1
course 1
cousin 1
cousins 1
creating 1
creature 1
deceased 1
decided 1
declared 1
declares 1
devised 2
dishonest 1
drinks 1
drop 1
errors 1
extreme 1
fantasio 4
finally 1
for 1
from 1
gallon 1
grand 1
had 1
hardest 1
has 2
he 2
heating 1
heirs 1
himself 1
his 4
home 1
hostile 1
impossible 1
impoverished 1
in 5
inherit 1
inheritance 1
invention 1
is 3
it 4
jungle 1
learns 1
learnt 1
leave 1
lessons 1
life 1
longabsent 1
make 1
marsupilami 1
men 1
must 1
mysterious 1
natives 1
nothing 1
nurse 1
of 4
oil 1
on 1
original 1
out 1
palombian 1
position 1
prix 1
prodigious 1
proves 1
put 1
race 3
reflexes 1
relatives 1
rescues 1
satisfied 1
second 1
seen 1
spirou 2
tactics 1
task 2
that 1
the 19
their 1
them 1
they 1
third 1
three 1
tied 1
to 5
told 1
top 1
trials 1
two 2
uncle 2
until 1
useful 1
uses 1
way 1
ways 1
who 1
win 1
winner 1
young 1
zantafio 3
