2202928
/m/06vmqg
/m/06vmqg
Guy Delisle

{"/m/016chh": "Memoir", "/m/0py0z": "Graphic novel"}
a 2
absence 1
accompanied 1
adaptation 1
addition 1
all 1
also 2
an 2
and 13
aphex 1
apparent 1
appropriate 1
arch 1
are 1
arrives 1
as 2
asserts 1
at 2
authorized 1
believe 1
born 1
brainwashing 1
bring 1
bringing 1
businessmen 1
by 2
cds 1
children 2
cigarettes 1
citizens 1
club 1
cocacola 1
cognac 1
colleagues 1
comics 1
copy 1
corto 1
country 1
cult 1
delisle 3
diplomatic 1
diplomats 1
disabled 3
during 1
eightyfour 1
elderly 1
embassy 1
encounters 1
engineers 1
enormous 1
exhibition 1
extreme 1
food 1
for 2
foreign 1
foreigners 1
former 2
french 1
friendship 1
from 1
genuinely 1
george 1
gitanes 1
guide 3
hall 1
has 1
hdtv 1
he 6
healthy 1
hennessy 1
his 5
hotel 3
ilsung 2
imperialist 1
in 6
installing 1
intelligent 1
international 1
into 1
is 1
items 1
jongil 1
juche 1
judged 1
kim 3
kimjongilias 1
korea 1
korean 2
koryo 1
lack 1
leader 1
legation 1
level 1
like 1
maltese 1
massive 1
meets 1
metro 1
month 1
museum 1
music 1
nearlyexpired 1
ngo 1
nineteen 1
no 1
north 2
notes 1
occupation 1
of 13
on 1
orwell 1
other 1
palace 1
past 1
people 2
personality 1
presence 1
presents 1
programme 1
propaganda 1
pueblo 1
pyongyang 4
quarter 1
questioned 1
race 1
regarding 1
reggae 1
required 1
reverse 1
romanian 1
ryugyong 1
seems 1
sek 1
son 1
south 1
state 1
statue 1
stays 1
strong 1
studio 1
such 2
surprised 1
taekwondo 1
that 4
the 26
things 1
to 3
totalitarian 1
tower 1
translator 1
transmitter 1
triumph 1
twin 1
two 1
uss 1
visit 1
visits 2
walking 1
was 1
water 1
when 1
workers 1
working 1
world 1
yanggakdo 1
