2667882
/m/07wmh0
/m/07wmh0
Ryu Murakami

{"/m/014dfn": "Speculative fiction", "/m/07s9rl0": "Drama", "/m/05hgj": "Novel", "/m/01jym": "Bildungsroman"}
16 1
172 1
a 9
abandoned 1
adopted 1
age 1
all 1
along 1
an 2
and 7
anemone 1
are 1
at 2
athletic 1
be 1
become 1
becomes 2
bisexual 1
both 3
boys 2
by 3
cherryfield 1
city 1
coin 1
come 1
comes 1
condo 1
consequences 1
converted 1
crocodile 1
d 2
datura 1
deep 1
defense 1
destroy 1
diseased 1
during 1
eccentric 1
effects 1
employed 1
find 1
for 4
foster 1
girlfriend 1
grave 1
has 2
hashi 5
hear 1
her 2
his 2
however 1
in 7
infancy 1
into 1
is 2
island 1
it 3
kiku 4
korean 1
kuwayamas 1
kyushu 1
live 1
locked 1
lockers 1
model 1
mother 1
mothers 1
named 3
of 6
off 1
often 1
on 3
order 1
orphanage 1
out 1
parents 1
picked 1
pole 1
producer 1
real 1
revenge 1
rock 1
search 1
searches 1
slight 1
star 1
station 1
story 1
substance 1
summer 1
surreal 1
swamp 1
take 1
the 11
their 1
them 1
themselves 1
they 1
those 1
to 3
tokyo 3
tough 1
toxitown 1
train 1
turns 1
two 1
upon 2
urban 1
vaulter 1
voice 1
wards 1
wasteland 1
way 1
were 1
where 1
who 5
whose 1
wife 1
with 2
woman 1
yokohama 1
zainichi 1
