12374576
/m/02w1snj
/m/02w1snj
Jay Lake

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 1
and 5
apprentice 1
archangel 1
axis 1
by 1
clockmaker 1
commandment 1
disaster 1
down 1
earth 1
ensue 1
from 1
fulfill 1
gabriel 1
god 1
he 2
his 1
if 1
ignorance 1
innocence 1
is 4
it 2
journey 1
key 1
long 1
mainspring 2
make 1
man 1
must 1
not 1
of 3
perilous 2
planet 1
polar 1
power 1
rewind 1
rewound 1
running 1
selfknowledge 1
south 1
story 1
take 1
that 1
the 10
to 4
told 1
visited 1
who 1
will 2
young 2
