4830226
/m/0cp_ng
/m/0cp_ng
David Gerrold
1971
a 13
able 1
actually 1
addition 1
adult 1
advanced 1
aircloth 1
airtight 1
altered 1
an 5
and 14
annoyance 1
anxious 1
approaches 1
are 6
area 4
as 3
astronaut 1
atomic 1
balloons 1
be 3
becomes 2
becoming 1
believe 1
between 1
beyond 1
book 2
brief 1
building 1
built 1
but 4
by 7
call 1
can 1
casually 1
changed 1
chieftain 1
cloth 1
conceives 1
concerns 1
considerable 1
continuing 1
contrive 1
course 1
covered 1
create 1
created 1
creates 1
crime 1
culture 1
dead 2
deals 1
default 1
demeans 1
depart 1
destroying 1
disrupts 1
distant 1
do 2
doing 1
dorthi 1
ecology 1
efforts 1
eggshaped 1
epilogueafter 1
escape 1
events 1
eventually 1
everyone 1
existing 1
explosion 1
fabricating 1
fall 1
fertile 1
first 1
flee 2
flying 2
for 2
forced 1
forever 1
from 3
fur 1
geologistanthropologist 1
get 3
gets 1
go 1
good 1
happy 1
has 4
have 3
having 1
he 8
here 1
him 5
his 4
home 1
how 1
hydrogen 1
idea 1
impact 1
in 12
including 1
incumbent 1
industrial 1
ineffectively 1
influence 1
inhabitants 1
injured 1
into 2
intoxication 1
introduced 1
is 9
island 2
join 1
killing 1
known 1
landing 1
lands 1
lant 9
larger 1
learn 1
length 1
less 2
lives 2
local 3
machine 2
magic 1
magician 2
magicians 1
many 1
money 1
more 1
mother 2
much 1
must 1
natives 3
new 2
not 1
notes 1
novel 1
nowhere 1
of 19
off 1
old 2
on 5
one 1
only 1
or 2
oxygen 1
part 1
peace 1
pedaldriven 1
peninsula 1
people 6
perceived 1
perspective 1
persuade 1
persuades 1
plot 1
presumed 1
primitive 2
problems 1
purple 11
rapidly 1
relationship 1
rest 1
results 1
return 4
revenge 1
revolution 1
rid 1
rising 1
rubberequivalent 1
sails 1
scheme 1
seas 1
seen 1
serving 1
sexes 1
ship 4
shoogar 4
shorelines 1
shows 1
sky 1
so 2
society 1
somewhat 1
sons 1
speaker 3
splits 1
started 1
steering 1
stranded 2
succeeded 1
successful 1
sufficiently 1
suit 1
summer 1
summon 1
suns 1
swear 1
take 1
technologies 1
technology 2
than 1
thanks 1
that 2
the 54
there 2
these 1
they 3
thin 1
this 2
thoughtlessly 1
thus 1
time 1
to 21
trapped 1
treaty 1
tribulations 1
trying 1
two 3
up 1
variable 1
vehicle 2
verdant 1
village 3
villagers 7
water 1
when 1
which 3
who 3
will 1
wind 1
wish 1
with 2
work 1
world 2
would 1
