5300136
/m/0ddbw2
/m/0ddbw2
Jane Jensen
2003-07-29
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 4
agent 1
an 3
analysis 1
and 5
applications 1
article 1
as 4
assistant 1
attract 1
auschwitz 1
aware 1
become 1
becomes 1
by 3
codes 1
coincides 1
control 1
dimension 1
dimensions 1
disappearances 1
discovered 1
discovery 4
down 2
dr 1
during 1
evaluate 1
evil 1
fifth 1
first 1
for 1
from 1
good 1
graduatestudent 1
her 2
his 1
holocaust 1
in 4
insight 1
interest 1
interested 1
interned 1
is 2
it 1
jewish 2
jill 1
journalist 1
kabbalistic 1
kobiniski 1
kobinski 2
law 1
lower 1
manuscripts 2
many 1
military 2
name 1
nature 1
novel 1
obeys 1
of 9
on 1
one 1
order 1
part 1
partner 1
people 1
phenomenon 1
physicist 2
physicists 1
rediscovered 1
research 1
resurfacing 1
scholar 1
scientist 2
several 1
shows 1
sources 1
species 1
spiritual 1
talcott 1
tells 1
that 1
the 16
them 1
this 1
to 3
too 1
torah 1
track 2
tries 1
trying 1
two 1
up 1
was 2
well 2
where 1
who 1
with 1
written 1
yosef 1
young 2
