275414
/m/01p82z
/m/01p82z
Kurt Vonnegut
1987
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 4
abstract 1
after 3
afternoon 1
an 1
and 7
answers 1
apologizes 1
arriving 1
art 2
as 3
asking 1
at 1
autobiography 1
away 1
back 1
barn 4
beach 1
begins 1
berman 2
book 1
but 1
by 2
catches 1
celeste 1
charm 1
circe 1
collected 1
collection 1
collectors 1
coming 1
constantly 1
cook 1
daughter 1
describes 1
died 1
does 2
drink 2
end 1
enticed 1
every 1
explores 1
find 1
for 1
forward 1
from 1
gets 1
gone 1
greet 1
guard 1
guests 1
has 3
he 5
her 8
him 3
himself 1
his 5
holds 1
home 4
how 1
i 1
immobilizing 1
in 1
inch 1
including 1
invite 1
invites 1
is 4
it 1
jackson 1
karabekian 7
kitchen 1
livein 1
locked 1
lonely 1
make 1
manipulative 1
masterpieces 1
me 1
mrs 1
museum 1
nailing 1
narrator 1
no 1
not 1
of 6
offers 1
offlimits 1
one 2
only 1
onto 1
opening 1
other 1
out 1
outrageous 1
padlocks 1
parents 1
passes 1
paul 1
place 1
pollock 1
potato 3
priceless 1
private 1
proceeds 1
promised 1
questions 2
rabo 1
raise 1
reaches 1
remain 1
respect 1
secret 2
see 1
shares 1
she 3
shut 1
six 1
slazinger 1
something 1
statement 1
stay 1
stolen 1
story 1
studio 1
supper 1
surprise 1
suspicions 1
tell 1
tells 1
that 1
the 17
through 1
time 1
to 11
trouble 1
typically 1
until 1
visitors 1
wanders 1
way 1
went 1
when 1
who 1
windows 1
with 4
works 1
wrong 1
you 1
your 1
