9388942
/m/0286xk8
/m/0286xk8
Jacqueline Wilson
1994
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 9
about 1
accommodation 2
adjusting 1
all 1
along 2
and 8
appear 1
are 2
as 4
asks 1
attend 1
awakes 1
baby 1
become 1
bed 1
behind 1
boys 1
breakfast 1
bright 1
chance 2
children 1
circumstances 1
classes 1
comedienne 1
courageous 1
damaged 1
discovers 1
doesnt 2
door 2
dreams 1
elsa 6
enjoy 1
eventually 1
everyone 2
extra 1
families 1
family 2
finally 1
fire 1
for 1
forced 1
frequently 1
friend 1
from 3
get 1
girl 1
given 1
halfbrother 1
halfsister 1
hank 1
hard 1
has 5
he 1
her 13
his 2
hits 1
hotel 6
how 1
in 3
including 1
into 1
investigating 1
invited 1
is 6
it 1
job 1
kitchen 1
lessons 1
little 1
lively 1
loses 2
loud 1
makes 2
many 1
mother 1
move 1
much 2
naomi 1
nearby 1
new 2
news 1
nicer 1
night 1
of 2
often 1
on 4
one 1
others 1
out 1
pippa 1
plays 1
poor 1
programme 1
reporter 1
residents 1
rundown 1
runs 1
safely 1
school 3
she 7
sister 1
smell 1
smoke 1
so 2
spending 1
star 1
stepfather 2
tagging 1
take 1
takes 1
television 2
temper 1
temporary 1
that 1
the 8
time 2
to 11
truant 1
up 3
upon 1
used 1
using 1
usually 1
voice 1
wake 1
when 3
who 1
with 5
woke 1
yelling 1
young 1
