3352265
/m/0978bf
/m/0978bf
Leslie Charteris
1964
a 20
able 1
accept 1
accident 1
acknowledge 1
action 1
admits 1
after 3
again 2
aims 1
alessandro 1
allapparent 1
ally 1
also 1
although 3
an 9
and 22
antique 1
any 1
apparently 2
appears 2
are 2
army 3
arrested 1
arrive 1
arriving 1
as 5
ask 1
at 4
attack 1
attacked 1
attacks 1
attempts 1
attention 2
back 4
bank 2
barber 1
battle 1
be 5
because 1
before 4
beginning 1
being 1
belongings 1
beyond 1
bodyguard 3
both 1
breaking 1
bribe 1
brief 1
brought 4
brutally 1
bulletproof 1
bus 2
businessman 6
but 7
by 11
call 1
can 5
candidates 1
cannot 1
captured 1
car 3
carefully 1
cartelli 3
castle 4
cell 1
chase 1
chased 1
choose 1
citizen 1
claims 3
clear 1
climbs 1
clubbed 1
commander 1
conceal 1
confronted 2
confronts 1
contacts 1
cool 1
corner 1
countryside 1
courteously 1
criminal 1
cross 1
day 2
defeat 1
descends 1
destamio 15
dino 3
discards 1
discover 1
discovers 1
dispute 1
down 1
drawn 1
draws 1
driving 1
dungeon 1
during 1
each 1
employee 1
encounters 1
enemies 1
english 2
englishman 3
enters 1
escapes 1
euston 3
even 1
extremely 1
face 1
faces 1
faithful 1
family 3
fear 1
finally 1
finds 1
flown 1
for 7
force 1
formidable 1
freedom 1
friend 2
from 3
gangsters 1
garage 1
gather 1
gathered 1
gina 1
gives 1
go 2
goes 2
going 1
good 1
grateful 1
grave 1
greet 1
greeting 1
guards 1
had 1
hands 2
has 5
have 5
he 23
head 2
headquarters 2
help 1
hesitation 1
hidden 1
higher 1
hill 1
him 10
himself 2
his 14
hit 1
holiday 1
hotel 1
house 1
hunt 1
identity 1
ill 1
immobilizes 1
in 6
incident 2
including 1
indicated 1
inscriptions 1
inspector 1
intervenes 1
into 3
introduces 1
introductions 1
investigate 1
investigation 1
invitation 1
invited 1
is 19
island 2
it 2
italian 6
italians 1
joins 1
known 1
learn 1
learns 1
leave 2
leaves 1
leaving 1
lets 1
limousine 1
list 1
local 2
locals 1
location 1
long 1
lovely 1
luckily 1
lunch 2
mafia 9
make 2
man 2
manages 3
mansion 1
many 1
mature 1
mausoleum 1
meet 1
meeting 1
men 4
mercy 1
met 1
might 1
military 1
mobilised 1
moments 1
more 2
morning 1
move 1
mr 1
murdered 1
must 1
mutilated 2
name 4
naples 2
nature 1
neutralizes 1
never 1
newspaper 1
next 3
night 1
no 1
not 1
notorious 1
obituary 1
of 19
off 1
offers 1
officials 1
old 2
older 1
on 5
one 2
only 2
opponent 1
other 3
out 2
palermo 3
passengers 1
perimeter 1
personal 1
place 1
police 4
ponti 8
possible 1
previous 1
privacy 1
private 1
pursued 1
pursuit 1
question 2
questioning 1
ranked 1
reach 1
ready 1
real 1
realizes 2
realizing 1
receives 1
reception 1
recognition 1
recommendation 1
recommends 1
refuses 1
reinforcements 1
remembering 1
restaurant 2
retreat 1
return 1
reveals 1
robber 2
robbers 1
ropes 1
running 1
saint 30
second 1
secret 1
sends 1
seriously 2
set 1
sets 1
several 2
shows 2
sicily 1
simon 1
simply 1
slightly 1
small 2
sneaked 1
soon 1
start 1
starts 2
station 2
stay 1
still 1
stops 1
storm 1
story 2
straight 1
street 1
strike 1
succeeds 1
successor 1
surprised 1
surrounded 1
table 1
tables 1
takes 2
tells 1
templar 1
that 5
the 103
their 4
them 1
then 1
there 2
they 5
this 2
thoroughly 1
thought 1
through 4
to 27
too 1
top 2
tourist 2
troops 2
troubles 1
true 1
trusted 1
try 1
trying 1
turned 1
two 1
unable 1
unconscious 1
under 1
unfortunate 1
untie 1
up 1
uproar 1
very 2
visit 1
visits 1
war 1
was 4
were 2
when 7
where 1
which 1
who 8
why 2
will 3
with 7
without 1
wonder 1
worthy 1
