3118111
/m/08sl_r
/m/08sl_r
Marianne Curley

a 8
ageing 1
along 1
also 1
and 8
another 1
appearance 1
arkarian 6
at 1
be 1
birdlike 1
birth 1
boy 1
brother 1
but 4
by 3
came 1
can 1
cease 1
chaos 2
creature 1
defying 1
determined 1
dillon 1
each 1
erasing 1
ethan 2
facing 1
father 1
finds 1
for 2
friend 2
gain 1
ghostspirit 1
going 1
good 1
got 1
grants 1
guard 2
hardships 1
has 1
he 1
hearing 2
her 4
him 1
his 2
human 1
in 1
is 6
isabel 4
itself 1
john 1
kidnapped 1
killed 1
life 2
lorian 4
love 1
many 1
matt 1
means 1
meet 1
member 1
new 1
of 4
opening 1
order 2
orders 1
other 1
out 1
pardonned 1
plan 1
pleas 1
power 1
realise 1
rescuing 2
return 1
rift 1
risking 1
save 1
saves 1
she 2
side 1
sister 1
so 1
somewhat 1
still 1
summons 1
that 1
the 11
them 1
they 4
through 1
to 5
together 1
underworld 2
was 2
way 1
weaken 1
when 3
who 3
with 1
working 1
wren 2
