30257484
/m/0g58th_
/m/0g58th_
Margery Allingham
1965
{"/m/0lsxr": "Crime Fiction"}
a 3
albert 1
amanda 1
an 1
and 5
are 1
arrive 1
at 2
attempt 1
avril 1
boys 1
but 1
by 1
campion 2
canon 1
caught 1
certain 1
charles 1
coast 1
cousin 1
ds 1
east 1
edward 2
electronics 1
establishment 1
father 1
find 1
for 1
forward 1
goes 1
halfterm 1
happening 1
helped 1
his 2
hosting 1
in 1
is 2
island 1
kidnap 1
knapp 1
lady 1
liverpool 1
looking 1
luke 1
made 1
missing 1
mystery 1
nephew 1
on 2
remote 1
sam 2
station 1
strange 1
street 1
t 1
the 3
their 1
them 1
themselves 1
then 1
things 1
thomas 1
to 2
unexpectedly 1
up 1
when 1
where 1
wife 1
with 1
works 1
