71479
/m/0jdry
/m/0jdry
Iain Banks
1994
a 5
activate 1
advanced 1
against 1
allowed 1
allowing 1
an 2
and 2
are 2
artificial 1
as 2
at 1
attempt 1
background 1
bascule 2
be 1
become 1
behind 1
between 1
book 4
by 4
chapter 1
characters 1
cloud 1
commonplace 1
computer 1
corpus 1
crypt 1
cryptosphere 1
custom 1
data 1
dead 1
deal 1
device 1
diaspora 1
dim 1
do 1
drifting 1
due 1
dyslexia 1
earth 2
easily 1
encroachment 1
end 2
engine 1
eventually 1
exodus 1
explained 1
fact 1
far 1
fearsome 1
fighting 1
first 1
follows 1
four 2
fourth 1
future 1
has 1
have 1
humanity 2
in 3
intelligence 1
interstellar 1
into 2
involved 1
is 6
it 1
its 1
known 1
least 1
left 1
life 1
light 1
limited 1
longdeparted 1
lost 1
meanwhile 1
meet 1
mindstates 1
molecular 1
more 1
moving 1
much 2
narrative 1
near 1
network 1
not 1
number 1
of 8
on 2
one 1
only 1
opens 1
or 2
part 1
partly 2
person 1
phonetically 1
problem 1
quarter 1
reincarnated 1
reincarnations 1
remained 1
rotation 1
rulers 1
segment 1
set 1
simply 1
solar 1
species 1
such 1
sufficiently 1
sun 1
system 1
technological 1
technology 1
teller 1
that 1
the 24
their 1
this 1
those 1
though 1
title 1
to 6
told 1
until 1
uploading 1
very 1
where 1
which 1
who 3
will 1
with 3
worldspanning 1
written 1
