3136677
/m/08tsy2
/m/08tsy2
Tim LaHaye
2005-03-31
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 15
about 1
accepts 1
ad 1
after 4
against 1
airline 1
all 1
almost 1
also 1
amazing 1
an 2
and 15
another 1
antichrist 1
anymore 1
are 2
as 4
assassinated 1
at 1
attend 1
baby 3
badly 1
be 2
become 2
becoming 1
befriending 1
begins 1
best 1
between 1
beyond 1
biological 1
birth 2
born 1
breaks 1
bring 1
business 1
businessman 1
by 2
can 1
carpathia 1
child 1
childhood 1
chloe 1
christ 1
christian 1
college 2
comes 1
concern 1
conflict 1
contrast 1
covered 1
dates 1
days 2
deals 2
death 1
decides 1
demon 1
desert 1
determined 1
disagrees 1
discovers 1
does 1
dreams 1
during 1
education 1
egg 1
engineering 1
executed 1
falls 1
family 1
father 3
fathers 1
featured 1
feel 1
finally 1
financier 1
find 1
first 1
food 1
for 4
forced 1
forty 1
found 1
friend 1
furthermore 1
fused 1
genetic 1
get 1
giving 1
god 1
group 1
has 3
have 2
he 5
her 7
his 6
homosexual 1
how 1
however 4
husband 1
hybrid 1
in 3
into 1
irene 3
is 17
it 1
ivinisova 1
ivins 1
jackie 2
jesus 1
joins 1
jonathan 1
kitty 1
known 1
later 4
latter 1
lays 1
life 1
lord 1
love 1
lover 1
loyalty 1
luciferian 1
marilena 5
married 2
marries 1
meanwhile 1
meets 2
missing 1
mixed 1
much 1
named 1
nearly 1
need 1
nicolae 9
no 1
not 1
of 5
once 1
one 1
or 1
orders 1
out 2
over 1
overcome 1
own 1
pilot 2
plan 1
plans 3
poisoning 1
possesses 1
powerful 1
prodigy 1
ray 3
rayford 3
reads 1
realizing 1
remain 1
returned 1
revealed 1
rise 1
rising 1
romania 1
romanian 1
rotc 1
russian 1
salvation 1
says 1
second 1
she 3
showing 1
simple 1
slowly 1
so 2
something 2
son 2
sorin 2
sperm 2
spirit 1
steele 3
stonagal 1
take 1
taken 1
talent 1
talks 1
temptation 1
temptations 1
that 2
the 16
them 1
themselves 1
these 1
they 2
this 3
thoughts 1
three 1
through 2
thus 1
time 1
to 14
traits 1
truth 1
two 2
unknown 1
up 3
viv 2
viviana 2
wants 1
water 1
well 1
where 2
which 1
while 2
who 6
wife 1
wishes 1
with 7
without 1
woman 3
world 1
would 1
