816343
/m/03dvx4
/m/03dvx4
Terry Brooks

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 13
ability 1
action 1
after 2
afterlife 1
afterwards 1
age 1
aid 2
air 1
all 4
allanon 4
along 2
already 1
also 2
although 1
an 5
ancestor 1
ancient 1
and 27
apprentice 1
arcane 1
are 7
armed 1
armies 1
army 3
arts 2
as 10
at 2
back 1
banner 1
battle 3
battles 1
be 6
because 1
been 4
before 4
behind 1
believe 1
believing 1
best 2
better 1
black 9
boy 1
bremen 16
brona 4
but 6
by 11
called 1
can 4
carried 1
cast 1
centuries 1
chew 2
cloaking 1
cogline 1
come 1
comes 1
confronts 1
consequences 1
continued 1
could 2
council 3
create 3
created 1
creating 1
creel 1
dead 2
death 2
defeat 2
defeated 1
destroy 2
destroyed 2
destroying 1
destroys 1
devises 1
didnt 1
died 2
disaster 1
discovered 1
discovers 2
drawing 1
drive 1
druid 9
druids 5
druin 1
during 3
dwarf 1
dwarves 1
easily 1
eilt 1
elfstone 10
elven 2
elves 1
empathic 1
enemies 1
enough 1
entire 1
equips 1
escape 1
even 1
eventually 1
ever 1
every 1
existence 1
eyes 1
face 2
fails 1
family 1
fearing 1
felt 1
fight 1
final 2
finding 1
first 5
followers 1
for 4
forbidden 1
force 2
forced 2
former 1
forsaking 1
four 1
friend 2
friends 1
from 6
galaphile 2
gathering 1
given 2
gnome 1
go 2
goes 1
grandchildren 1
grant 1
guilt 1
had 6
hadeshorn 2
happen 1
has 2
have 2
having 1
he 17
her 1
hidden 1
hiding 1
him 10
himself 2
his 10
home 1
horrified 1
how 1
however 3
hunters 1
if 1
immense 1
in 7
inaction 1
incredibly 1
innate 1
intelligence 1
interest 1
into 4
iron 1
is 13
it 4
jerle 8
joined 1
killed 1
king 2
kinson 2
know 1
known 1
knows 1
lacked 1
late 1
later 1
leads 1
learns 2
leave 1
leaves 1
leaving 1
left 1
life 1
lord 13
love 1
loves 2
loyalty 1
lungs 1
magic 9
magical 1
magna 2
make 2
makes 1
manages 4
mareth 4
married 1
massive 1
meanwhile 2
metal 1
minions 2
mixing 1
most 1
must 1
mystic 1
needs 1
netherworld 1
never 2
new 1
no 1
not 2
now 4
of 25
old 2
on 4
one 2
only 4
order 2
out 1
outcast 1
own 1
panamon 1
paranor 5
party 1
penetrating 1
pivotal 1
plan 1
possesses 1
power 1
powers 1
preia 2
prepared 1
properly 1
race 1
races 4
rather 1
ravenlock 2
reaching 2
reader 1
reconcile 1
recover 3
recovering 1
remained 1
remaining 1
remains 1
result 1
revealed 1
reveals 1
right 1
risca 3
royal 1
sacrifice 1
saw 1
science 1
sciences 1
search 1
secretly 1
seek 1
seeks 1
sends 2
set 1
several 1
shade 2
shades 1
shannara 6
simply 2
since 1
skilled 1
small 1
smith 2
so 4
speaks 1
spends 1
spent 1
spirits 1
starle 2
starts 1
stopped 1
strong 1
stronger 2
study 1
studying 1
subverted 2
successor 1
succumbs 1
summoning 1
survived 1
survivors 1
sword 6
taking 1
talent 1
talisman 1
target 1
task 1
tay 9
teaching 1
than 4
that 12
the 94
them 1
they 1
thing 1
this 1
thought 1
three 2
to 34
too 1
trap 1
travel 1
trefenwyd 4
tremendous 1
tried 1
troll 1
trust 1
truth 7
turned 2
two 1
under 1
upon 4
used 1
uses 1
visions 1
walking 1
war 4
warlock 13
warn 2
warned 1
was 3
ways 1
weapon 2
well 2
westland 2
what 2
where 1
which 2
who 8
whom 1
wield 1
will 1
wipes 1
with 10
world 1
would 3
years 1
young 1
