7697505
/m/026971j
/m/026971j
Kathy Tyers

a 14
abdicate 1
abilities 2
ability 1
about 1
accepts 1
accidentally 1
affections 1
after 4
aftermath 1
again 2
aligned 1
allowed 2
almost 1
also 4
amnesia 3
amplify 1
an 1
and 31
angelo 2
another 1
any 2
anyone 1
are 9
arm 1
arrival 1
as 8
asking 2
assassin 1
assassins 1
assistance 2
associated 1
assumed 1
assumption 1
at 3
attack 3
attacked 1
attempt 1
attempting 2
available 1
away 1
basic 1
be 1
bedsmdashthe 1
been 1
before 4
begin 1
begins 2
behind 1
being 1
better 1
blocked 1
blocks 1
bloodline 2
bombed 1
both 1
brennen 3
brother 1
but 3
by 7
caldwell 13
can 1
cannot 1
captured 2
care 1
carradee 3
carried 1
carriers 1
chafe 1
chambers 1
chance 1
character 1
chemically 1
city 1
class 1
cloning 1
code 1
collapse 1
comes 1
confronting 1
consort 1
contact 1
continues 2
coopted 1
copilot 1
daithi 3
days 1
death 3
deep 1
despite 1
developing 1
developments 1
devoted 1
diplomatic 1
discovered 2
discovers 1
distract 1
divine 2
dna 1
dominate 2
doubt 1
drakeangelo 1
during 1
dysfunctional 1
efforts 1
ehretan 4
ellet 1
ends 1
enjoyed 1
epsilon 1
especially 1
ethical 1
even 2
events 1
every 1
experience 1
experienced 2
exploring 1
exposed 1
extract 1
faced 1
failure 1
faints 1
faith 1
family 1
federacy 4
federate 1
fiercely 1
finally 1
finds 1
firebird 11
first 2
follow 1
fool 1
foppish 1
for 11
force 3
found 1
free 1
from 3
frustration 1
fusion 2
galaxy 1
gene 1
general 1
generations 1
genes 1
gentle 1
gesture 1
get 1
given 1
gives 1
guidance 1
had 1
harmful 1
has 3
hauls 1
have 1
having 2
he 6
healthy 1
hence 1
her 23
heritage 1
hesed 1
him 2
himself 2
his 4
homeworld 2
hoping 1
house 1
how 1
however 1
humbles 1
husband 2
ideas 1
impossible 1
in 13
incapacitated 1
ineffectual 1
infiltrate 1
interested 1
involves 1
is 18
issue 1
it 3
jumpstart 1
keenly 1
kept 1
killing 1
kills 1
kinsman 1
labor 1
largely 1
last 1
latches 1
latest 1
leaders 1
leaving 1
life 1
light 1
lost 1
manages 1
material 1
matured 1
meanwhile 1
medical 1
mental 3
mentally 2
middle 1
might 1
military 1
mind 1
minor 1
mission 1
monitoring 1
months 1
moral 1
more 1
moreover 1
most 2
mostly 1
motives 1
mourn 1
murdered 1
near 1
nearly 1
netaia 4
netaian 2
new 4
newborn 1
news 1
night 1
nobility 1
nonnetaian 1
occupation 1
odds 1
of 16
off 1
officer 2
offspring 1
old 1
on 5
ongoing 1
only 2
opens 1
out 2
own 2
pain 1
painful 1
pawn 1
phobia 1
phoena 5
physical 1
pillaging 1
piloting 1
played 1
point 1
political 1
powerful 2
powers 5
pregnancy 1
prince 1
producing 1
progressed 1
prompts 1
prophecy 1
psiamplification 1
psihealing 1
psychic 2
pursue 1
quarantinedmdasheven 1
queen 2
realizing 1
received 1
recover 1
reduce 1
reforms 1
regarding 1
religion 1
religious 1
remains 2
remember 1
repeatedly 1
rescue 3
rescuing 1
respect 1
resulting 1
retreat 1
return 1
reveals 1
rival 1
romantic 1
rule 1
ruling 1
safely 1
samples 1
scheme 1
screams 1
second 1
secret 1
secrets 1
see 1
seen 1
seizes 1
selfimposed 1
sentinel 3
sentinels 3
sequences 1
sets 1
she 5
shed 1
shock 1
shocked 1
shows 1
shuhr 11
shuttle 1
simulations 1
societal 1
someone 1
sons 1
source 1
spacecraft 1
stave 1
story 1
strengthened 1
strict 1
studies 1
study 1
success 1
successful 1
suicide 1
takes 1
technologies 1
technology 1
tel 6
telepath 2
telepathic 1
telepaths 2
telepathy 1
tellai 1
temporarily 1
than 2
that 4
the 53
their 6
them 4
there 1
they 4
third 1
this 2
though 2
thought 1
threatens 1
three 3
through 1
thus 1
thwart 1
time 3
timemdashbut 1
to 27
together 2
torture 1
tortured 1
triumph 1
try 1
turn 3
two 2
uncontrolled 1
under 1
unlike 1
untested 1
unwitting 1
upon 2
using 3
vision 1
warmly 1
was 2
wastling 1
wealth 1
welcomed 1
well 2
were 1
when 2
where 2
which 2
while 2
who 3
wipe 1
with 5
world 1
would 1
wreck 1
year 1
zed 2
