899697
/m/03n1sv
/m/03n1sv
Tim O'Brien
1978-01
a 7
actions 1
after 1
against 1
alice 1
all 1
allusion 1
also 1
always 1
ambiguities 1
american 1
and 7
appearances 1
appears 1
are 1
as 4
atrocities 1
aung 1
beat 1
being 1
berlin 2
beyond 1
book 2
bright 1
but 1
by 5
cacciato 6
cavalier 1
chapter 1
character 1
characters 1
chase 1
chronology 1
complicity 1
concerning 1
conform 1
constant 1
contains 1
contrast 1
conveyed 1
deal 1
detail 1
different 1
distinct 1
drum 1
during 1
duty 1
earlier 1
early 1
emerson 1
encounters 1
end 1
endless 1
entails 1
entire 1
escape 1
estimation 1
events 1
every 1
falling 1
feature 1
fell 1
fiction 1
final 1
flies 1
focuses 1
for 2
freer 1
frustrated 1
gifted 1
going 2
happier 1
happiness 1
happy 1
he 1
helps 1
his 1
idea 1
if 1
ignorant 1
imagined 1
important 1
in 12
independence 1
individual 1
is 11
it 2
its 1
itself 1
just 1
juxtaposition 1
kind 1
language 1
larger 1
lead 1
line 1
look 1
main 2
man 1
many 1
marches 1
minor 1
modern 1
most 1
mountain 1
narrator 1
nature 1
nonlinear 1
not 1
note 1
novel 3
obligations 2
obrien 1
occur 1
of 14
off 1
often 1
on 2
one 2
or 2
order 1
out 1
pages 1
paris 2
particularly 1
past 1
paul 2
placed 1
portrayed 2
psychological 1
pursued 1
put 1
questions 1
readers 1
requires 1
reveal 1
sarkin 1
selfsufficient 1
society 1
soldier 2
sometimes 1
standard 1
statements 1
stories 1
story 3
straight 1
sunnily 1
superficial 1
surrealism 1
surrealistic 1
that 4
the 28
themes 1
they 1
think 1
this 2
thoreau 1
those 1
throughout 1
to 9
tour 1
toward 1
trauma 1
tunneling 1
tunnels 1
two 1
typical 1
untroubled 1
up 1
vietnam 1
view 2
walking 2
wan 1
war 1
way 1
were 1
when 1
where 1
whether 1
which 2
who 4
with 1
wonderland 1
would 1
wouldbe 1
