7138301
/m/0h66zx
/m/0h66zx
Brian Evenson
1998
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
12yearold 1
14yearold 1
38yearold 1
a 9
about 1
abuse 2
accountant 1
admit 1
allegations 3
alone 1
also 1
an 2
and 14
another 2
answer 1
are 1
as 6
assaulted 2
babysitter 1
been 1
believe 1
belt 1
boy 4
boys 2
brutally 1
but 2
by 5
car 1
carry 1
chapters 1
children 2
childrens 1
choose 1
church 3
city 1
claims 1
comes 1
conclusions 1
confronting 1
contents 1
contrives 1
controlled 1
counsel 1
cycle 1
damage 1
dark 1
daughter 1
denies 1
depravity 1
describes 2
difficult 1
dismembers 1
disturbing 1
dna 1
does 1
doing 1
done 1
dream 2
dreams 2
ecclesiastical 1
eldest 1
eldon 1
ends 1
eventually 2
everything 1
excommunicate 1
extent 1
far 1
feshtig 5
first 1
fochs 10
forces 1
four 1
free 1
frightens 1
from 2
funded 1
further 1
girl 3
go 1
god 1
going 1
gradually 1
growing 1
guided 1
happened 1
happily 1
harbours 1
has 3
having 3
he 14
her 2
him 5
his 14
how 1
husband 1
in 7
incest 1
inconclusive 1
institute 1
into 2
is 7
it 1
its 1
itself 1
killed 1
lay 1
level 1
married 1
mears 1
media 1
meets 1
molest 1
molested 2
more 1
mothers 3
mounts 1
murdered 2
nathan 1
never 1
night 1
novel 1
of 7
office 1
on 4
one 2
order 1
person 1
persuaded 1
police 1
position 1
presses 1
pressure 2
protect 1
protected 1
provost 1
psychoanalysis 1
rams 1
reach 1
reputation 1
reveals 3
seat 1
secrets 1
she 2
sinks 1
slowly 1
sodomises 1
something 1
son 1
spend 1
starts 2
still 1
strangles 1
superior 1
superiors 1
surreptitiously 1
suspicion 1
teaching 1
tests 1
that 5
the 24
their 2
them 1
therapist 1
thoughts 1
threats 1
through 1
thrown 1
time 1
to 17
transferred 1
tree 1
two 3
uncle 1
unclipped 1
uncovers 1
was 3
what 1
when 1
where 1
who 1
wife 2
wifes 1
window 1
with 6
works 1
young 2
