3021563
/m/08l29r
/m/08l29r
Dick King-Smith
1983-11-12
1 1
10 1
11 1
12 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
a 11
about 3
accompanies 1
again 1
alerts 1
all 1
alone 1
also 1
and 22
animal 1
animals 1
any 1
appears 2
are 4
around 2
arrives 1
as 3
ask 1
asking 2
asks 3
astonished 1
at 3
attacked 1
away 2
babe 29
back 2
be 4
because 1
before 2
believe 1
believes 1
bites 1
bring 1
but 1
by 5
called 1
can 2
cant 1
car 1
case 1
centre 1
chap 1
chapters 1
children 1
christmas 1
comes 1
comforts 1
commands 1
contains 1
could 2
county 1
critically 1
danger 1
day 4
dead 1
decides 1
dies 1
dinner 1
discovers 1
do 5
dog 1
dogs 2
down 2
drive 1
ducks 1
each 1
end 1
enter 1
entering 1
even 1
every 1
ewe 1
failing 1
fair 1
farm 4
farmer 15
fatten 1
fields 4
finds 1
first 1
flock 1
fly 11
for 4
forces 1
from 4
full 1
get 1
go 1
goes 2
good 1
grounds 1
guess 1
gun 1
happened 1
has 4
have 2
he 13
heads 1
heart 1
heartbroken 1
hell 1
helped 1
helps 1
her 6
herd 2
herding 2
herds 1
herself 1
him 9
his 8
hogget 1
hoggett 16
how 1
however 4
i 1
idea 1
in 11
injured 1
innocent 1
intends 1
is 12
it 2
just 1
keep 1
killed 1
lane 1
later 2
learn 2
leg 1
life 1
like 1
lines 1
little 2
lives 1
local 1
looks 1
lorry 1
loudly 1
ma 7
maa 1
manages 1
marks 2
may 1
meets 2
morning 1
mother 1
mrs 3
my 1
name 1
named 2
needs 1
nice 1
no 2
not 1
obtain 1
of 6
off 1
oh 1
on 6
one 4
ordering 1
other 1
panicking 1
password 2
patrol 1
pen 1
perfect 1
perfectly 1
performs 1
pig 6
piglet 1
pigs 1
pity 1
plot 1
police 1
polite 2
politely 2
porker 1
practising 1
prepares 1
promises 1
proven 1
puppies 2
put 1
rather 1
realise 1
really 1
replies 1
resumes 1
revolves 1
reward 1
round 1
rules 1
runs 1
rustlers 4
saved 2
saves 1
saving 1
says 1
scared 1
scene 1
score 1
sees 2
she 4
sheep 21
sheepdog 2
sheepdogs 1
sheeppig 2
shooting 1
short 1
sickly 1
since 1
so 5
sold 1
some 1
son 1
soon 1
speak 1
speech 1
squeals 1
stable 1
starts 3
stealing 1
straight 1
stupid 1
such 1
surroundings 1
swaps 1
takes 2
teach 1
telephones 1
tell 2
tells 2
terrorising 1
than 1
that 11
thatll 2
the 55
their 2
them 5
then 1
there 1
thing 1
think 1
time 1
to 29
today 1
told 1
train 1
training 1
trial 1
trials 5
twelve 1
un 1
unable 1
unfamiliar 1
up 6
use 1
visit 1
visits 1
walking 1
was 1
weight 1
well 1
what 4
when 5
whim 1
who 2
why 1
wife 1
wild 1
willingly 1
with 7
without 1
won 1
worthy 1
written 1
yelling 1
youm 1
young 3
