8810361
/m/027kk66
/m/027kk66
Heather O'Neill
2006
12year 1
14yearold 1
a 15
abandoned 1
about 1
abused 1
addicted 1
addiction 2
after 1
again 1
all 2
alone 1
alphonse 8
also 1
among 1
an 2
and 21
anywhere 1
apartment 1
around 3
arrival 1
as 2
assumes 1
at 5
attempts 1
away 2
baby 16
back 1
be 2
beats 2
become 3
becomes 2
begin 2
begins 1
best 1
born 2
boy 1
boys 1
bums 1
bus 2
but 2
by 2
can 1
car 1
cause 1
characters 1
child 1
children 2
closer 1
cool 1
cousin 2
crash 1
date 1
dead 1
death 1
decides 1
des 1
detention 1
develops 1
died 2
distraught 1
down 1
driver 1
driving 1
drug 1
drunk 1
embrace 1
encounter 1
ends 1
eventually 2
everything 1
explains 2
exposes 1
father 1
fearful 1
finally 1
find 1
finds 3
follows 1
for 3
forcing 1
foster 1
frequently 1
friends 1
from 2
gets 1
girls 1
go 2
goes 2
grows 1
had 2
happy 1
has 3
have 1
he 4
heard 1
height 1
her 11
heroin 3
herself 3
high 1
him 3
his 2
home 2
homeless 1
hotel 1
house 1
immediately 1
in 4
inside 1
intimate 2
into 2
is 8
it 2
jules 14
junkies 1
juvenile 1
lash 1
leaves 2
leaving 1
left 1
linus 1
lives 1
living 1
local 1
locked 1
loups 1
lucas 1
makes 1
making 1
many 1
may 1
meets 1
mellow 1
month 2
montreal 2
morning 1
mother 2
move 1
named 3
nearby 1
next 1
no 1
nobody 1
normal 1
not 1
novel 1
nowhere 1
odd 1
of 9
often 2
old 1
on 2
one 1
only 1
other 2
out 1
over 1
overdose 1
own 1
pack 1
picks 1
pimp 1
pimps 1
place 2
places 1
promises 1
prostitute 1
prostituting 1
protagonist 1
protective 1
put 1
reason 1
rehab 1
relationship 2
return 2
returns 1
revealed 1
revolves 1
room 2
runs 1
school 2
security 1
semblance 1
sends 1
services 1
set 1
settle 1
sex 1
shared 1
she 10
shelter 1
slowly 1
so 1
soon 1
spends 1
station 1
stay 1
staying 1
still 1
story 1
streets 1
surely 1
taken 2
takes 1
taking 1
that 4
the 17
their 1
them 2
then 1
there 4
they 6
think 1
this 1
though 1
through 1
time 3
to 18
twelveyearold 1
two 3
up 4
upon 1
val 1
various 1
very 2
virginity 1
wakes 1
walk 1
wandering 1
was 6
week 1
when 3
where 2
wherever 1
while 4
who 3
will 1
with 8
worsening 1
xavier 3
years 1
young 1
zachary 1
