7081250
/m/0h37rf
/m/0h37rf
Tamora Pierce
1998-10
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 22
ability 1
about 1
accident 1
after 1
again 1
all 7
also 1
an 3
and 14
anger 1
are 1
area 1
as 2
asks 1
assist 1
at 3
attempt 1
bad 1
bargain 1
be 2
because 2
becomes 1
been 1
before 1
blank 1
book 1
branch 1
briar 4
built 1
but 1
by 4
called 1
can 1
cap 1
caravan 6
care 1
catches 1
caught 1
childmages 1
clump 1
combined 1
conceited 1
control 1
converse 1
convince 1
copper 2
could 2
create 1
creates 1
daja 10
did 1
dies 1
discover 1
does 1
doesnt 1
drought 1
drying 1
duke 1
earth 2
emelan 1
end 2
enemy 1
energy 1
enough 1
erupts 1
examine 1
exile 1
exist 1
father 1
feeling 1
finding 1
fire 11
fires 2
firetamer 2
first 2
for 3
forced 1
forest 3
four 1
friend 1
from 2
gained 1
glacier 1
glimpse 1
guide 2
had 4
has 2
heading 1
her 10
his 1
honor 1
horses 1
hot 2
how 1
however 2
huge 3
iceglaciers 1
idaram 1
in 8
into 3
investigate 1
iron 1
is 9
it 2
job 1
just 1
lake 1
last 1
lastly 1
later 1
laughs 1
leads 2
leg 1
lightning 1
like 1
listen 1
literally 1
living 2
local 1
look 1
loses 1
luck 1
lugsha 1
mage 1
magic 6
map 1
mast 1
means 1
melted 1
melting 1
metal 2
middle 1
miles 1
mixed 1
moments 1
moves 1
negotiates 1
noticed 1
notices 1
noting 1
now 1
of 17
off 1
on 3
one 2
only 1
onto 1
opens 1
or 2
original 1
out 1
part 1
people 1
privy 1
problems 1
putting 1
refill 1
refuses 1
releases 1
replenish 1
rest 1
restoring 1
riding 1
rosethorn 2
sandry 3
saves 1
saving 2
says 1
scorned 1
separate 1
she 9
signifies 1
small 1
smith 1
smithy 1
so 1
soon 1
spills 1
springs 1
staff 1
status 1
still 1
stimulate 1
stones 1
stop 3
stops 3
story 1
stream 1
strongly 1
student 1
students 1
study 1
stunned 1
supply 1
suppressing 1
takes 1
talk 2
tamer 1
teacher 1
teachers 3
tenth 1
that 5
the 50
their 8
then 1
they 2
this 1
though 1
throughout 1
thrusting 1
time 1
to 19
tower 1
town 3
trade 1
trader 7
tradesmen 1
trangshi 1
treelitter 1
tris 1
try 1
turn 1
turns 1
twined 1
uneasy 1
up 1
use 1
used 2
utilizing 1
vein 2
was 1
watch 1
water 2
way 1
when 2
which 7
while 4
who 1
wirok 3
with 6
within 1
woman 1
word 1
work 1
working 1
would 1
yarrun 1
years 1
zokin 1
