2605866
/m/07r7hg
/m/07r7hg
Charles Dickens
1846
{"/m/014dfn": "Speculative fiction", "/m/0l67h": "Novella"}
a 7
about 2
after 1
albert 5
allow 1
also 1
an 2
and 11
appears 1
are 1
as 3
at 1
aunt 1
barristers 1
be 1
bears 1
been 1
ben 1
bethrothed 1
birthday 1
both 1
britain 2
but 1
by 2
called 1
care 1
causes 1
clandestine 1
clemency 3
complete 1
confides 1
country 1
craggs 1
daughter 1
day 1
disappearance 1
dr 2
eloped 1
elopement 3
english 1
entrusts 1
evening 1
explain 1
explains 1
fall 1
farce 1
father 2
forgiveness 1
found 1
goodnatured 1
grace 5
grief 1
hand 1
happily 1
happiness 1
has 4
have 1
he 1
heartbreak 1
heathfield 1
her 7
him 1
his 1
however 1
in 6
indeed 1
instead 2
into 1
involved 1
is 10
it 2
jeddlar 2
jeddler 1
leave 1
leaving 1
libertine 1
life 1
live 1
living 1
love 1
made 1
makes 1
man 1
marion 11
married 1
marries 1
martha 1
michael 1
missing 1
much 1
newcome 1
night 1
not 1
now 1
nursing 1
of 1
off 1
on 2
one 1
out 2
parties 1
pass 1
person 1
philosophy 1
place 1
promise 2
reign 1
rendezvous 1
rest 1
return 2
reunited 1
run 1
seduce 1
servants 1
set 1
she 1
shed 1
sister 3
sisters 1
six 1
snitchey 1
so 1
socalled 1
spies 1
studies 1
sunset 1
supposed 1
tavern 1
tears 1
that 5
the 12
their 1
thought 1
to 16
treat 1
turns 1
two 3
up 1
village 3
ward 1
warden 2
who 2
whose 1
widower 1
win 1
with 4
years 1
younger 2
