3499945
/m/09gwg1
/m/09gwg1
Henry James
1899-06

a 1
abroad 1
actually 1
aging 1
ago 1
also 1
an 1
ancient 1
and 4
away 1
be 1
becky 4
but 1
close 1
daughters 2
death 1
died 1
dies 1
england 1
euphemism 1
europe 5
event 1
ever 1
falls 1
family 3
finally 2
for 1
friends 1
from 1
get 1
gets 1
going 1
gone 1
great 1
happy 1
has 2
he 1
her 3
him 1
home 1
house 1
ill 1
is 2
jane 3
last 1
life 1
like 1
long 1
maria 1
materializing 1
mother 1
mrs 4
mummified 1
narrator 3
nearly 1
never 1
new 1
next 1
not 1
of 2
plans 1
return 1
rimmle 4
sad 1
see 1
sees 1
she 2
soon 1
take 1
tells 2
that 3
the 9
their 2
three 1
to 6
too 1
true 1
visited 1
visits 2
was 1
when 2
whenever 1
where 1
which 2
widow 1
will 1
would 1
