5466499
/m/0dn3_6
/m/0dn3_6
Leslie Charteris
1968
a 10
able 1
about 1
adopted 1
adventure 1
after 1
amos 5
and 6
are 1
arrives 1
at 1
back 1
be 4
behind 1
believes 1
book 1
by 2
character 1
claim 1
country 1
dashing 1
de 1
do 1
does 1
doing 1
everything 1
evil 1
explains 1
find 1
finds 2
for 2
friend 1
from 1
grandiose 1
gripping 1
group 3
gunshots 1
has 1
he 5
hears 1
heist 1
her 4
hired 1
his 2
house 1
in 3
increase 1
is 3
just 1
kidnapped 1
klein 6
leader 1
looking 1
lucrative 1
madmen 1
male 1
manly 1
mastermind 1
members 1
must 2
named 1
next 1
nom 1
novels 4
of 8
one 1
organization 1
out 2
pair 1
people 1
plot 1
plume 1
popular 1
protect 1
publishing 1
recluse 1
rescue 1
research 1
revolver 1
rushing 1
sales 1
screams 1
secretary 1
secretive 1
series 1
several 1
she 4
simon 2
some 1
soon 1
spy 1
stars 1
suave 1
sword 1
templar 2
that 5
the 13
their 2
then 1
they 1
tied 1
to 7
trade 1
untying 1
up 1
want 1
warlock 1
was 1
what 1
when 1
who 3
woman 4
write 1
writes 1
