37159503
/m/073nkd
/m/073nkd
Fyodor Dostoyevsky
1846
100 1
25 1
a 16
about 1
abuse 1
across 3
after 3
afterwards 1
agonizing 1
allows 1
almost 1
alone 1
also 1
amount 1
and 27
anna 3
announces 1
another 1
apartments 1
are 3
as 5
at 3
attest 1
attesting 1
away 1
back 2
be 4
became 1
because 5
becomes 2
becoming 1
begin 1
begins 1
being 1
belittled 1
birthday 1
blinds 1
books 3
boss 1
both 1
bright 1
but 4
buy 1
by 4
bykov 1
can 2
care 1
case 1
character 2
city 1
claiming 1
clothes 1
clothing 1
clouds 1
colleagues 1
come 2
complete 1
condition 1
conditions 2
considers 2
copy 1
copyist 1
country 1
court 1
cousins 1
cruel 1
dealings 1
debts 1
decides 1
depressed 1
desperate 1
despite 2
destined 1
detailed 1
devushkin 9
dies 4
dirty 2
dobroselova 12
does 1
drunken 1
dying 1
each 1
end 1
ends 1
enough 1
entire 1
even 2
eventually 2
evicted 1
example 1
exchange 3
fact 1
falls 2
family 1
father 7
fathers 1
fedora 1
feel 1
few 1
final 1
find 1
finds 2
for 10
former 1
frequently 2
from 3
future 1
fyodorovna 2
generous 1
gifts 1
give 1
gives 1
goes 1
gorshkovs 2
governess 1
grey 1
groans 1
had 1
happiness 1
happy 1
has 3
hates 1
he 7
head 1
her 11
him 10
himself 2
his 17
history 1
hunger 1
ill 1
improving 1
in 13
instead 1
is 8
it 2
job 2
just 2
kitchen 1
knowing 1
landlady 1
last 1
latter 1
learns 1
least 2
leave 1
leaving 2
left 1
letter 1
letters 3
life 2
liked 1
linen 1
live 2
lived 1
lives 1
living 3
looks 1
losing 1
lost 1
lot 1
love 1
lowly 1
luck 1
luxuries 1
main 1
makar 1
market 1
may 1
measly 1
merely 1
money 7
mother 2
move 2
moved 1
moving 1
mr 1
much 1
named 1
need 1
never 1
new 3
not 1
now 1
obliges 1
occasional 1
occasionally 1
of 11
off 1
offended 1
on 4
one 1
only 1
opening 1
or 1
originally 1
other 2
out 1
outside 1
overcoat 1
own 1
part 1
passes 1
pays 1
perfectly 1
perhaps 1
petersburg 1
picked 1
pity 1
plea 1
pokrovsky 4
pokrovskys 1
poor 1
portionedoff 1
possible 1
present 1
pretends 1
previously 1
progressively 1
proposed 1
purchase 1
pushkin 1
rain 1
rat 1
ratazyayev 1
reader 1
received 1
response 1
reveal 1
risks 1
rubles 2
sad 1
same 1
save 2
second 1
section 1
see 1
seem 1
sends 3
settlement 1
several 1
severely 1
shakes 1
shambles 1
she 10
shortly 1
similar 1
situation 1
slowly 1
society 1
some 1
son 1
soon 2
squanders 1
st 1
start 1
stories 1
story 2
street 2
stroke 1
struggles 1
student 1
such 1
sun 1
sympathy 1
takes 1
talk 1
tenants 1
terrible 2
than 1
that 4
the 32
their 3
them 3
then 2
they 3
this 1
time 1
to 26
together 1
too 1
tutored 1
twiceremoved 1
used 1
using 1
various 1
varvara 1
very 1
violent 1
visits 2
was 4
when 2
where 1
which 1
who 4
whose 2
will 1
wish 1
with 8
won 1
work 2
works 2
world 1
worn 1
worse 1
write 1
writer 1
