11999513
/m/02vlghd
/m/02vlghd
John Dickson Carr

{"/m/02n4kr": "Mystery"}
a 4
all 2
an 1
and 6
approached 1
are 1
been 2
behind 1
being 1
blake 3
bolted 1
but 1
by 5
can 1
chiefinspector 1
court 3
crime 1
dagger 1
darworth 3
dean 1
death 1
doors 1
estate 1
expert 1
explains 1
fake 1
family 1
feet 1
friend 1
get 1
ghost 1
go 1
halliday 3
hands 1
hangman 1
has 1
haunted 1
have 1
he 1
henry 1
him 1
himself 1
his 2
holding 1
house 3
however 1
humphrey 1
in 3
invites 1
is 4
joseph 1
ken 1
locked 2
locks 1
louis 2
masters 2
medium 1
merrivale 1
monitored 1
mud 1
night 1
of 5
old 1
one 1
only 1
original 1
owner 1
part 1
plague 3
playge 2
police 1
proceeds 1
profession 1
psychic 1
roger 1
room 1
run 1
seance 4
sir 1
small 1
solve 1
stabbed 1
stone 1
story 1
surrounds 1
suspects 1
take 1
tells 1
that 1
the 15
thirty 1
to 4
unbrokenand 1
when 1
while 1
who 2
windows 1
with 1
