60956
/m/0gk1s
/m/0gk1s
Richard Wright
1940
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 27
abandoned 1
about 5
accepting 1
accusingly 1
acknowledges 1
actually 1
adds 1
admit 1
afraid 3
africanamerican 1
after 5
afternoon 1
air 2
alarm 1
alert 1
all 1
also 1
an 6
and 53
animal 1
any 1
anyone 1
anything 1
appears 1
approaches 1
are 6
arms 1
around 2
arrive 2
as 2
ashes 2
aside 1
asks 1
asleep 1
at 5
attacking 1
attacks 1
attitudes 1
attracted 1
avoid 1
away 1
back 2
be 2
because 4
becomes 1
bed 1
bedroom 2
before 4
behave 1
belong 1
bessie 6
better 1
bigger 46
black 1
blacks 1
blackwhite 1
blade 1
blank 1
blind 2
body 3
bones 1
bottle 1
boy 1
boyfriend 2
breathe 1
brick 1
britten 5
brother 1
brought 1
buddy 1
building 1
burn 2
but 12
buy 1
by 5
calculated 1
call 1
called 1
calls 1
cannot 3
capitalist 1
carry 1
catch 1
chance 1
change 1
chase 2
chauffeur 1
chicago 1
cinema 1
city 2
claims 1
claws 1
clock 1
coal 1
comes 1
communist 5
concerning 1
concerns 1
conflicting 1
confronts 1
confused 1
conscious 1
contact 1
conversation 1
conversations 1
cook 1
corpse 2
cowardice 1
crime 1
current 1
dalton 9
daltons 4
dark 2
daughter 2
days 1
death 1
decapitating 1
decides 4
demeaning 1
depends 1
desperation 1
detective 1
different 1
diner 2
directly 1
disappears 1
discovers 1
dislikes 1
do 2
does 7
done 2
door 2
down 1
drag 1
drink 2
drives 2
drunk 1
during 1
earring 1
eat 1
ends 1
enters 2
equal 1
even 1
evening 3
events 1
every 1
everyone 2
except 1
expect 1
extra 1
face 1
faints 1
falls 1
false 2
family 5
father 1
fear 1
feel 2
feels 1
few 1
fight 1
film 1
finally 2
finds 2
fire 1
first 2
fit 1
flat 1
flees 1
for 8
forbidden 1
forcing 1
forever 1
found 1
frantically 1
friend 1
friends 3
from 3
front 1
frustrated 1
full 1
furious 1
furnace 5
fury 1
future 1
g 1
gets 1
girl 1
girlfriend 1
go 1
goes 3
guilty 1
gus 1
gusiffer 1
h 1
had 2
hands 1
happen 1
has 10
hatchet 1
hate 2
hates 1
have 1
having 1
he 42
head 1
headlines 1
help 2
her 18
hide 1
him 20
himself 1
his 21
hits 1
home 2
hours 1
house 4
how 2
however 1
if 1
immediately 1
in 22
inside 1
intentionally 1
interrogates 1
into 4
investigation 1
invite 1
irish 1
iron 1
is 18
it 3
jack 2
jan 11
job 3
journalists 2
just 1
kidnap 1
kill 1
killing 1
kind 1
kisses 1
know 4
knowing 1
knows 1
large 1
lawyer 1
leave 3
leaves 2
left 1
lick 1
lie 1
life 2
like 3
lives 1
long 1
lose 1
lot 1
luxurious 1
maelstrom 1
make 2
man 1
manages 1
mary 13
max 2
meaningful 1
meet 1
meets 2
money 1
more 1
morning 1
mother 1
moved 1
movies 1
mr 7
mrs 4
murder 1
must 1
named 1
names 1
nearby 1
need 1
never 1
new 2
newspaper 1
newsreel 1
nice 1
night 3
none 1
not 8
note 3
oblige 1
obscurely 1
occurring 1
of 20
offers 2
on 3
one 2
only 2
opening 1
opens 1
or 2
ordered 1
originally 1
other 1
out 1
over 2
overhears 1
own 1
owner 1
paralyzed 1
park 1
part 1
pass 1
peggy 1
people 3
pillow 2
plan 1
pocket 1
poking 1
police 2
poolroom 2
pressing 1
previous 1
primitive 1
prison 1
private 1
pushes 1
put 1
puts 1
quickly 1
r 1
race 1
raped 1
rapes 1
rat 1
ratinfested 1
realizes 3
receive 1
reconsiders 1
relates 1
relationships 2
remains 1
removes 1
rents 1
requests 1
resist 1
respond 1
responsibilities 1
returns 2
robbery 3
rooftops 1
room 10
rum 2
runs 1
same 1
says 1
scolds 2
seat 1
see 3
sees 2
sense 1
sentenced 1
several 1
sex 1
shaft 1
shame 1
she 6
shovel 2
silences 1
simply 1
sister 1
sit 1
skillet 1
sleep 1
slips 1
small 1
smells 1
smoke 1
so 1
some 1
someone 1
something 2
soon 1
sound 1
starts 3
stealing 1
stories 1
storms 1
story 2
strange 1
strangely 1
suddenly 1
suffer 1
suffocated 1
surprised 1
suspects 1
suspicion 1
table 1
take 3
takes 2
talk 2
taught 1
tell 2
tells 3
temptation 1
terrible 1
terrified 3
terrorizes 1
that 17
the 82
their 8
them 4
then 4
there 1
they 15
think 1
thinking 2
thinks 3
this 1
thomas 2
those 1
through 3
throughout 2
throw 1
throwing 1
time 1
times 1
to 45
together 3
tomtoms 1
took 1
try 1
trying 1
turns 1
uncomfortable 1
under 1
understanding 1
union 1
until 1
up 1
use 1
vera 3
very 2
violent 1
violently 1
vouches 1
wakes 1
walks 1
wall 1
want 1
wants 1
was 1
way 2
wealth 1
wealthy 1
what 2
when 7
where 1
whether 1
while 1
whiskey 1
white 4
whites 3
who 2
whole 2
why 1
wife 1
wild 1
will 6
window 1
wish 1
with 10
witness 1
word 1
words 1
work 1
world 2
worlds 1
would 2
write 1
