7833518
/m/026fnl4
/m/026fnl4
André Franquin
1974

a 5
african 1
american 1
an 2
and 2
angering 1
another 1
ants 1
at 1
author 1
awful 1
baby 1
backalive 1
become 1
befriend 1
bring 1
cage 1
capturing 1
confront 1
cost 1
cronicles 1
cultivate 1
day 1
discover 1
eating 1
elephants 1
events 1
expedition 1
fantasio 1
father 1
find 1
for 1
gang 1
gurgling 1
in 2
increasingly 1
intrepid 1
learn 1
learns 1
living 1
love 1
m 1
marsupilami 3
meateating 1
more 1
obsessed 1
of 6
oliver 1
on 1
plants 1
poacher 1
protection 1
pygmy 1
racket 1
red 1
river 1
sample 1
search 1
spirou 1
story 1
strange 1
tabou 1
tembo 1
the 3
themselves 1
they 1
thirstywell 1
thugs 1
travelling 1
tribe 1
upstream 1
vanished 1
warrior 1
when 1
who 2
with 1
work 1
