7322510
/m/025z3y2
/m/025z3y2
Raymond Abrashkin

a 11
able 1
absence 1
afterwards 1
against 2
also 2
altered 1
altering 1
americans 1
an 1
and 10
are 1
arrives 2
as 5
attempts 1
authoritarian 1
authorization 1
be 2
bee 1
beehive 1
been 2
being 1
believe 1
birdwatch 1
blueprints 1
boombox 1
both 1
break 1
bullfinch 6
bully 2
but 2
by 7
cause 1
causes 1
cheating 1
colonel 1
commanding 1
confess 1
confronted 1
conscience 1
controls 1
copying 1
could 2
create 1
creation 1
crystalline 1
danny 7
decide 1
delusively 1
destroyed 1
destroying 1
destroys 1
detailing 1
device 4
discovers 1
dishonestly 1
doctor 1
down 1
dr 2
dragonflylike 1
each 1
either 1
electrical 1
enemy 1
evaluating 1
exacerbates 1
experimental 1
father 1
fire 2
for 2
foreign 2
friends 1
from 2
gauntlet 1
general 3
get 2
gloves 1
going 1
governments 1
governor 1
grimes 4
gruntel 2
guard 2
guards 1
hands 1
has 1
have 1
he 5
helmet 1
him 1
himself 1
his 3
house 1
however 1
in 2
informs 2
inside 1
into 2
intromittent 1
invisibility 1
irene 2
is 8
isit 8
it 3
joe 2
lab 2
language 1
leads 1
leave 1
leaves 1
leaving 1
list 1
local 1
make 1
man 1
material 2
matters 1
means 1
memory 1
military 2
national 1
nicknamed 1
nitcher 1
not 2
notes 3
observe 1
of 3
officer 1
on 1
only 2
or 1
order 1
orders 1
out 1
outfitted 1
own 1
personnel 1
piloted 1
power 1
pretend 1
probe 5
problems 1
prof 3
professor 4
ready 1
realized 1
realizes 1
rebuffed 1
recover 1
recreate 2
remember 1
residence 1
responsible 1
reveals 1
school 1
secure 1
seize 2
semiconductor 1
simulator 1
small 1
snitcher 1
soon 1
soviets 1
speaker 1
spelling 1
spies 1
spy 1
stand 1
stealthily 1
still 1
stolen 1
subsequently 1
take 1
telepresence 1
tells 1
that 4
the 36
their 2
this 1
to 23
tool 1
transmission 1
tries 1
trio 2
twist 2
two 1
under 1
unit 1
until 1
us 1
use 3
used 1
uses 2
very 1
visited 1
was 1
way 1
well 1
which 3
while 2
will 1
winning 1
wishes 1
with 4
without 1
word 1
world 1
