20649665
/m/05205tm
/m/05205tm
Carol Matas

{"/m/03g3w": "History"}
15 1
20 1
a 3
accuses 1
after 3
ages 1
agrees 1
all 1
along 3
although 1
an 1
and 7
angry 1
are 1
attacked 1
austria 1
being 2
believes 1
both 1
buchenwald 1
but 1
by 2
camp 1
campsruth 1
child 1
children 2
concentration 1
czechoslovakia 1
death 1
encourages 1
end 1
eretz 1
faith 1
family 2
flee 1
forced 2
freedom 1
from 3
gone 1
guilt 1
has 1
her 5
hide 1
hitlers 1
home 1
hometown 1
hope 1
house 1
housed 1
ii 1
in 4
include 1
is 9
israel 1
it 1
italy 1
jewish 1
jews 2
job 1
kidnapping 1
lead 1
learn 1
liberated 2
lives 1
lost 1
man 1
mandate 2
men 1
mendenberg 1
mob 2
murdering 1
named 1
no 1
of 7
old 1
one 2
only 2
other 2
palestine 2
poland 1
quick 1
quiet 1
received 1
recently 2
refugees 3
relative 1
released 1
returns 1
ruth 2
safely 1
saul 1
she 4
shortly 2
soldiers 1
some 2
surviving 1
that 1
the 10
them 1
then 1
there 1
through 1
to 7
towards 1
travel 2
until 1
village 1
war 1
which 1
who 1
with 5
women 1
world 1
years 1
young 1
