1117402
/m/047j3k
/m/047j3k
Roald Dahl
1991
a 4
acutely 1
affects 1
and 4
are 1
backtofront 1
backwards 2
be 1
being 1
but 1
by 1
can 1
causes 1
comedic 1
comments 1
condition 1
confused 1
creating 1
cure 1
doesnt 1
dog 1
doing 1
dyslexia 2
embarrassing 1
etc 1
everywhere 1
example 1
fictional 1
for 2
found 1
from 1
god 1
he 3
his 3
however 1
important 1
in 1
instead 1
is 2
it 2
knits 1
lee 1
life 1
mildmannered 1
most 1
new 1
nibbleswicke 2
normal 1
of 5
often 1
only 1
outrageous 1
parishioners 1
rare 1
realize 1
rest 1
resume 1
reverend 1
robert 1
say 2
saying 1
seemingly 1
sentence 1
service 1
shocked 1
situations 1
speech 1
stink 1
sufferer 1
suffering 1
that 1
the 8
to 1
type 1
verb 1
vicar 2
walking 1
will 1
word 1
would 1
