717690
/m/035dtq
/m/035dtq
Shane Dix

a 2
after 1
alliance 2
allies 1
an 1
and 5
anor 1
barab 1
between 2
but 1
by 2
cult 1
declared 1
destruction 1
discover 1
elsewhere 1
empire 1
fians 1
find 2
formerly 1
galactic 1
galantos 1
he 1
helps 1
heretical 1
his 1
i 1
identity 1
imperial 1
inhabitants 1
invade 1
invasion 1
is 4
jacen 1
jedi 1
jeedai 1
leads 1
living 1
lost 1
luke 2
marred 1
meanwhile 1
minus 1
mission 1
nom 1
nzoth 1
of 7
on 3
peace 1
planet 1
prophet 1
remnant 2
reorganizing 1
repel 1
ruin 1
sekot 2
since 1
skywalker 1
solos 1
takes 1
the 16
their 1
this 1
thwarted 1
to 3
try 1
trying 1
vong 4
way 1
which 1
with 1
world 1
yuhaa 1
yuuzhan 2
yuuzhantar 1
zonama 2
