658957
/m/02p2sjx
/m/02p2sjx
Patrick O'Brian
1986
2500 1
a 24
about 1
acquittal 1
advantage 1
advice 1
advised 1
affair 1
after 1
again 1
against 2
agent 2
agents 2
alcoholic 1
all 1
also 5
american 1
an 5
and 26
anyone 1
appearance 1
are 1
arrest 1
arrive 1
as 9
ashore 1
asks 1
assistance 1
at 1
attack 1
aubrey 14
auction 1
authorities 2
based 1
bastard 1
because 2
become 1
becomes 2
been 1
before 1
being 1
belief 1
black 1
blaine 2
bounty 1
brazen 1
brest 1
bridgetown 1
britain 1
british 2
but 3
buy 1
buying 1
by 6
cabinet 1
cabletiers 1
can 3
cannot 1
captain 1
capture 1
carrying 1
catholic 1
certain 1
chase 1
cheer 1
chief 1
circumstances 1
colleagues 1
complicated 1
concrete 1
contact 1
controlled 1
convicts 1
coup 1
court 1
crew 1
crowds 1
cruelly 1
dangerous 1
deeply 2
despite 1
destroy 1
details 1
devastating 1
diana 2
diplomatic 1
discovers 1
disgraced 1
disgruntled 1
disliked 1
dismissal 1
does 1
dreadfully 1
due 1
duhamel 1
emerges 1
encouraged 1
england 1
english 1
enough 1
entirely 1
escape 1
escaping 1
everything 1
excessive 1
exchange 1
exposed 1
exposes 1
false 1
far 1
farther 1
father 1
figure 1
financial 1
fining 1
for 5
france 1
fraud 1
french 3
friend 2
friends 2
from 4
game 1
general 3
gets 1
given 1
gives 3
go 1
godfather 1
government 3
guildhall 1
had 2
has 6
have 2
having 2
he 11
headed 1
hears 1
help 1
her 3
here 1
high 1
highly 2
him 12
himself 1
hiring 1
his 17
hms 2
hordes 1
hour 1
how 2
however 1
implicated 1
imprison 1
in 18
indeed 1
indicates 1
indies 1
infidelity 1
information 1
inherited 1
inn 1
instead 1
intelligence 4
introduced 1
investigator 1
is 1
it 1
jack 4
jagiello 1
joseph 1
judge 1
justice 1
key 1
knockedabout 1
lampooning 1
largely 1
larger 1
later 1
laudanum 1
leaving 1
ledward 1
left 1
letters 1
life 1
links 1
list 1
london 2
lord 1
loss 1
lying 1
made 1
make 1
makes 3
malta 1
man 1
manages 1
manofwar 1
marque 1
marshalsea 1
mast 1
mate 1
maturin 6
means 1
mediterranean 1
meets 2
minister 1
money 1
more 2
mother 1
motivated 1
mp 1
mputa 1
much 3
murdered 1
mutilated 1
mutual 1
named 1
navy 3
network 1
newfound 1
news 2
no 1
not 1
obtains 1
of 17
off 2
offended 1
officer 1
old 1
on 9
once 1
one 1
operate 1
ostensibly 1
other 1
out 1
palmer 3
panda 1
part 2
peace 1
peacerumour 1
peacetreaty 1
personnel 1
pieces 1
pillory 1
placed 2
places 1
plot 1
political 2
position 1
positive 1
priest 1
private 1
privateer 1
probably 1
profit 1
profitable 1
proof 1
protection 1
prove 1
proves 1
public 1
punishment 1
quebec 1
quinborough 1
radical 2
realizes 1
receives 1
redhead 2
regards 1
remain 1
remains 1
removed 1
reprisal 1
resigns 1
resolution 1
return 2
returning 1
returns 1
royal 1
rumour 3
rumours 3
sail 1
sally 1
samuel 1
seas 1
secretly 1
secure 1
sentencing 1
service 1
she 1
ship 1
side 1
sidelined 1
sign 1
sir 1
small 1
so 2
something 1
son 1
soon 2
south 1
spanish 1
spartan 1
spite 1
spreads 1
squadron 1
squall 1
started 1
stephen 5
stock 3
stockjobbing 1
stocks 1
stored 1
stranger 2
strike 1
student 1
subject 1
substance 1
sum 1
sure 1
surgeon 1
surprise 2
suspicions 1
sweden 1
take 1
than 2
that 8
the 45
their 1
this 2
thus 1
tincture 1
to 22
touching 1
traitors 1
transactions 3
treachery 1
trial 3
tries 1
turned 1
two 2
twoday 1
uncovering 1
under 1
understands 1
unfounded 1
unsatisfactorily 1
unwelcome 1
unwilling 1
up 1
use 1
used 1
using 1
utilises 1
vast 1
very 1
want 1
was 4
way 1
wealth 1
wealthy 1
west 1
which 1
whilst 1
who 2
whom 1
whose 1
widely 1
wife 1
will 1
win 1
with 6
would 2
wounded 1
wray 1
youngster 1
