4354062
/m/0byryb
/m/0byryb
Ian McEwan

187 1
a 14
about 1
acceptance 1
accidental 1
admission 1
also 1
an 1
and 9
are 1
as 1
at 1
author 1
become 1
before 1
book 3
books 1
british 1
by 1
bystander 1
cabinet 1
cannot 2
century 1
change 1
charles 1
child 1
childcare 1
children 1
close 1
committee 1
concentration 1
couple 1
darke 1
daughter 1
days 1
deals 1
drinking 1
during 2
dystopian 1
end 1
engages 1
event 1
eventually 2
experiences 1
explain 1
favourite 1
features 1
first 1
friend 1
friends 1
future 1
games 1
gender 1
government 1
grief 1
has 2
he 9
helpless 1
her 2
his 12
however 2
in 7
irrevocably 1
is 8
julie 1
junior 1
kate 1
lapse 1
lewis 1
life 1
lives 1
loses 1
loss 1
lying 1
married 1
member 1
mindless 1
minister 3
narrative 1
near 1
never 1
novel 1
now 1
of 7
olympic 1
on 4
one 1
only 2
otherwise 1
outlandish 1
own 2
painful 1
parents 1
physicist 1
politician 1
prime 2
programmes 1
pub 1
published 1
purpose 1
quantum 1
rarely 1
recluse 1
revealed 1
routine 1
saturday 1
scotch 1
sees 1
set 1
she 1
since 1
sofa 1
space 1
spends 1
stephen 3
strange 1
supermarket 1
that 2
thatcher 1
the 18
thelma 1
then 1
theories 1
they 1
time 2
to 2
tv 1
twentieth 1
understand 1
very 1
visit 1
visits 1
was 1
watching 1
way 1
who 2
wife 2
with 2
written 1
young 1
