29459325
/m/0drxn91
/m/0drxn91


{"/m/01hmnh": "Fantasy"}
a 9
able 1
across 1
against 1
all 1
also 2
among 1
an 1
ancestor 1
and 10
another 1
antagonist 1
around 1
artifact 2
as 5
at 1
attempting 1
away 1
be 1
before 3
benefactors 1
blown 1
bobbin 1
buried 1
but 1
by 6
caliban 5
chane 8
character 2
characters 1
chestal 1
comes 2
companions 1
conjunction 1
contain 1
could 1
darkmoor 1
death 1
decedent 1
destroy 1
died 1
direct 1
discover 1
doesnt 1
down 2
dream 1
during 2
dwarf 1
dwarfgate 1
dwarven 2
dwarves 3
each 1
encased 1
encounter 3
encounters 2
end 3
entrance 8
events 1
existed 1
feldstone 1
fighting 1
finds 1
firestoke 1
fistandantilus 1
forces 1
from 2
gargath 1
gate 1
gates 1
gem 1
gemstone 1
glenshadow 2
grallen 5
graygem 2
he 3
heart 2
helm 3
help 1
heritage 1
hidden 5
hill 1
him 2
his 6
hunted 2
ice 1
in 7
inside 1
into 1
irda 1
is 8
jillian 1
killed 2
kingdom 1
know 1
knowledge 1
known 1
kolanda 2
lance 1
learns 2
location 2
mage 2
mages 2
magic 4
main 1
major 4
members 1
mountain 1
name 1
named 1
near 3
neutrality 1
northgate 1
notable 1
novel 3
now 1
number 1
of 31
once 2
one 2
orders 1
original 1
other 3
out 1
outside 1
own 1
passes 1
pathfinder 2
peak 1
picks 1
places 1
plotline 2
power 1
powerful 1
pulled 1
realm 2
red 1
remained 1
remains 2
renegade 1
result 1
revolve 1
robes 1
rubble 1
seal 1
sealed 2
secondary 1
secret 1
seeks 1
shriveled 1
since 1
sky 1
spellbinder 3
storm 1
story 2
such 1
survive 2
takhisis 1
terrible 1
that 4
the 56
there 1
thicketsway 1
this 2
thorbardin 6
three 3
through 3
to 9
tower 1
traveling 1
travels 1
up 1
used 3
using 2
valley 1
wanderer 1
war 1
wars 1
was 4
waykeep 1
wears 1
were 1
which 4
who 3
wingover 1
with 3
years 3
zhaman 1
