153150
/m/013zzr
/m/013zzr
Anne Rice
1985
180s 1
18th 1
200yearlong 1
a 4
abandoned 1
abandons 1
after 4
again 1
akasha 2
an 1
and 15
apart 1
aristocrat 1
armand 2
arrives 1
arrogant 1
as 3
awakening 1
away 1
be 1
because 1
become 1
begin 1
beginnings 1
being 1
bites 1
bitten 1
book 1
burned 1
by 9
carved 1
causing 1
century 1
city 1
cliffhanger 1
commits 1
companion 1
compelled 1
concert 1
confidante 1
contact 1
countryside 1
damned 1
day 1
de 2
debut 1
depression 1
directly 1
dying 1
egypt 1
elder 1
ends 1
enkil 2
escaping 1
ever 1
family 1
fear 1
feeds 2
find 1
fire 1
first 1
follows 1
for 2
france 1
francisco 1
friend 1
from 4
furious 1
gabrielle 3
given 1
go 1
going 1
goodbye 1
ground 1
grow 1
harm 1
has 1
he 4
her 4
him 7
his 9
history 1
hoping 1
how 1
humble 1
idea 1
impoverished 1
in 7
into 5
is 4
island 1
kept 1
kidnapped 1
kidnaps 1
kills 1
king 1
late 2
later 3
leads 1
leaves 2
lenfent 1
lestat 15
life 1
lioncourt 1
loved 1
made 2
magnus 1
marius 7
markings 1
mediterranean 1
mother 1
must 1
nearly 1
nicki 4
nicknamed 1
nicolas 2
night 1
not 1
numerous 1
of 8
off 1
old 1
on 3
once 1
one 1
ones 1
order 1
orphans 1
outing 1
paris 2
past 1
places 1
plays 1
queen 2
recovered 1
rise 1
rock 1
rogue 1
running 1
san 1
save 1
saved 1
say 1
see 2
sent 1
set 1
severe 1
shares 1
short 1
shows 2
shuns 1
sleeps 1
story 1
suicide 1
sullenness 1
sunand 1
takes 2
that 1
the 19
them 3
then 2
they 1
third 1
those 1
to 11
transforming 1
traveling 1
turns 1
vain 1
vampire 4
violin 1
volume 1
warning 1
was 1
while 1
whilst 1
who 4
will 1
with 4
